[2023.08.30 10:53:09 - info ] Local executer inited, scale: 1, auto_clear: false, strict_sync: false, thread poolsize: 1, code_groups: 0
[2023.08.30 10:53:09 - info ] [exec_dw_etf]MiniImpactExecUnit SZSE.ETF.159901 inited, order price: BESTPX ¡À 0 ticks, order expired: 5 secs, order timespan:500 millisec, order qty: byrate @ 0.20 min_order: 0.00 is_cancel_unmanaged_order: true
[2023.08.30 10:53:10 - info ] [exec_dw_etf]avaliable update 0->:4999999999900
[2023.08.30 10:53:10 - info ] [exec_dw_etf]=================================channle ready==============================
[2023.08.30 10:53:13 - info ] [exec_dw_etf]No tick of SZSE.ETF.159901 updated, 1693361969176 <= 1693363991300, execute later
[2023.08.30 10:53:23 - info ] [exec_dw_etf]No tick of SZSE.ETF.159901 updated, 1693361975200 <= 1693364003222, execute later
[2023.08.30 10:53:37 - info ] [exec_dw_etf]No tick of SZSE.ETF.159901 updated, 1693361984195 <= 1693364015230, execute later
[2023.08.30 10:53:42 - info ] [exec_dw_etf]No tick of SZSE.ETF.159901 updated, 1693361987213 <= 1693364021258, execute later
[2023.08.30 10:53:57 - info ] [exec_dw_etf]No tick of SZSE.ETF.159901 updated, 1693361996261 <= 1693364036288, execute later
[2023.08.30 10:54:27 - info ] Local executer inited, scale: 1, auto_clear: false, strict_sync: false, thread poolsize: 1, code_groups: 0
[2023.08.30 10:57:02 - info ] Local executer inited, scale: 1, auto_clear: false, strict_sync: false, thread poolsize: 1, code_groups: 0
[2023.08.30 11:21:28 - info ] Local executer inited, scale: 1, auto_clear: false, strict_sync: false, thread poolsize: 1, code_groups: 0
[2023.08.30 11:22:00 - info ] [exec_dw_etf]MiniImpactExecUnit SSE.ETF.510050 inited, order price: BESTPX ¡À 0 ticks, order expired: 5 secs, order timespan:500 millisec, order qty: byrate @ 0.20 min_order: 0.00 is_cancel_unmanaged_order: true
[2023.08.30 11:22:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365709003 <= 1693365727157, execute later
[2023.08.30 11:22:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365712022 <= 1693365730247, execute later
[2023.08.30 11:22:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365685930 <= 1693365730247, execute later
[2023.08.30 11:22:34 - info ] Local executer inited, scale: 1, auto_clear: false, strict_sync: false, thread poolsize: 1, code_groups: 0
[2023.08.30 11:22:34 - info ] [exec_dw_etf]MiniImpactExecUnit SSE.ETF.510050 inited, order price: BESTPX ¡À 0 ticks, order expired: 5 secs, order timespan:500 millisec, order qty: byrate @ 0.20 min_order: 0.00 is_cancel_unmanaged_order: true
[2023.08.30 11:22:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365733030 <= 1693365757182, execute later
[2023.08.30 11:22:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365736063 <= 1693365760154, execute later
[2023.08.30 11:22:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365709230 <= 1693365775204, execute later
[2023.08.30 11:22:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365750994 <= 1693365778148, execute later
[2023.08.30 11:23:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365754497 <= 1693365781151, execute later
[2023.08.30 11:23:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365772032 <= 1693365805197, execute later
[2023.08.30 11:23:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365723380 <= 1693365808201, execute later
[2023.08.30 11:23:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365775001 <= 1693365808201, execute later
[2023.08.30 11:23:35 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365723380 <= 1693365814158, execute later
[2023.08.30 11:23:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365790040 <= 1693365826198, execute later
[2023.08.30 11:24:06 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365738990 <= 1693365844222, execute later
[2023.08.30 11:24:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365808512 <= 1693365850225, execute later
[2023.08.30 11:24:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365810984 <= 1693365853192, execute later
[2023.08.30 11:24:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365814058 <= 1693365856182, execute later
[2023.08.30 11:24:28 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365753660 <= 1693365868143, execute later
[2023.08.30 11:24:31 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365825976 <= 1693365871147, execute later
[2023.08.30 11:24:49 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365843941 <= 1693365886181, execute later
[2023.08.30 11:24:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365768170 <= 1693365895200, execute later
[2023.08.30 11:25:01 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365769700 <= 1693365901147, execute later
[2023.08.30 11:25:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365855974 <= 1693365901147, execute later
[2023.08.30 11:25:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365769900 <= 1693365907202, execute later
[2023.08.30 11:25:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365769900 <= 1693365916218, execute later
[2023.08.30 11:25:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365870927 <= 1693365916218, execute later
[2023.08.30 11:25:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365782840 <= 1693365922223, execute later
[2023.08.30 11:25:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365882962 <= 1693365928216, execute later
[2023.08.30 11:25:34 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365885956 <= 1693365934144, execute later
[2023.08.30 11:25:38 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365888964 <= 1693365937234, execute later
[2023.08.30 11:25:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365891931 <= 1693365940152, execute later
[2023.08.30 11:25:55 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365906957 <= 1693365955191, execute later
[2023.08.30 11:25:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365910278 <= 1693365958204, execute later
[2023.08.30 11:26:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365799660 <= 1693365961206, execute later
[2023.08.30 11:26:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365916039 <= 1693365967191, execute later
[2023.08.30 11:26:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365813660 <= 1693365985173, execute later
[2023.08.30 11:26:34 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365936928 <= 1693365994144, execute later
[2023.08.30 11:26:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365825300 <= 1693366006136, execute later
[2023.08.30 11:26:54 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365828990 <= 1693366012161, execute later
[2023.08.30 11:26:59 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365831630 <= 1693366018142, execute later
[2023.08.30 11:27:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365961024 <= 1693366024215, execute later
[2023.08.30 11:27:09 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365831830 <= 1693366027182, execute later
[2023.08.30 11:27:10 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365964254 <= 1693366027182, execute later
[2023.08.30 11:27:14 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365841000 <= 1693366033168, execute later
[2023.08.30 11:27:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365842730 <= 1693366036143, execute later
[2023.08.30 11:27:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365847260 <= 1693366048228, execute later
[2023.08.30 11:27:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693365985049 <= 1693366060146, execute later
