[2023.08.31 09:30:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445401260 <= 1693445401512, execute later
[2023.08.31 09:30:17 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445410220 <= 1693445416559, execute later
[2023.08.31 09:30:22 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445420192 <= 1693445422514, execute later
[2023.08.31 09:30:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445420192 <= 1693445422514, execute later
[2023.08.31 09:30:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445426866 <= 1693445428590, execute later
[2023.08.31 09:30:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445427066 <= 1693445428590, execute later
[2023.08.31 09:30:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445427066 <= 1693445428590, execute later
[2023.08.31 09:30:40 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445435381 <= 1693445440512, execute later
[2023.08.31 09:31:07 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445422560 <= 1693445464559, execute later
[2023.08.31 09:31:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445452176 <= 1693445467512, execute later
[2023.08.31 09:31:27 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445431150 <= 1693445485524, execute later
[2023.08.31 09:31:33 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445468504 <= 1693445491575, execute later
[2023.08.31 09:31:46 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445437200 <= 1693445503513, execute later
[2023.08.31 09:31:52 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445480721 <= 1693445509559, execute later
[2023.08.31 09:32:12 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445446040 <= 1693445530599, execute later
[2023.08.31 09:32:18 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445497704 <= 1693445536506, execute later
[2023.08.31 09:32:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445501110 <= 1693445542512, execute later
[2023.08.31 09:32:41 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445455500 <= 1693445560506, execute later
[2023.08.31 09:32:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445516452 <= 1693445566551, execute later
[2023.08.31 09:32:57 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445520918 <= 1693445575512, execute later
[2023.08.31 09:33:00 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445461360 <= 1693445578575, execute later
[2023.08.31 09:33:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445523499 <= 1693445581496, execute later
[2023.08.31 09:33:30 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445533795 <= 1693445608506, execute later
[2023.08.31 09:33:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445470020 <= 1693445611496, execute later
[2023.08.31 09:33:43 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445472920 <= 1693445623497, execute later
[2023.08.31 09:33:50 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445542841 <= 1693445629497, execute later
[2023.08.31 09:34:21 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445485270 <= 1693445659528, execute later
[2023.08.31 09:34:37 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445563839 <= 1693445674496, execute later
[2023.08.31 09:35:02 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445500080 <= 1693445701496, execute later
[2023.08.31 09:35:04 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445578790 <= 1693445704497, execute later
[2023.08.31 09:35:24 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445509260 <= 1693445722512, execute later
[2023.08.31 09:35:47 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445517940 <= 1693445746496, execute later
[2023.08.31 09:35:48 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445596813 <= 1693445746496, execute later
[2023.08.31 09:35:55 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445521510 <= 1693445755512, execute later
[2023.08.31 09:36:03 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445602906 <= 1693445761497, execute later
[2023.08.31 09:36:13 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445527500 <= 1693445770496, execute later
[2023.08.31 09:36:23 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445611796 <= 1693445782497, execute later
[2023.08.31 09:36:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445614796 <= 1693445788512, execute later
[2023.08.31 09:36:36 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445617795 <= 1693445794497, execute later
[2023.08.31 09:36:41 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445535850 <= 1693445800497, execute later
[2023.08.31 09:37:08 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445632981 <= 1693445827497, execute later
[2023.08.31 09:37:29 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445641796 <= 1693445848497, execute later
[2023.08.31 09:37:50 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445650846 <= 1693445869496, execute later
[2023.08.31 09:37:56 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445560500 <= 1693445875481, execute later
[2023.08.31 09:38:05 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445563010 <= 1693445884481, execute later
[2023.08.31 09:38:15 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445566500 <= 1693445893481, execute later
[2023.08.31 09:38:32 - info ] [exec_dw_etf]No tick of SSE.ETF.510050 updated, 1693445572510 <= 1693445911540, execute later
