code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.ETF.159915,LONG,202308101008,2.176,202308101109,2.172,100,-40,-40,,,361,368
SZSE.ETF.159915,SHORT,202308101109,2.172,202308101348,2.174,100,-20,-60,,,368,431
SZSE.ETF.159915,LONG,202308101348,2.174,202308111008,2.172,100,-20,-80,,,431,511
SZSE.ETF.159915,SHORT,202308111008,2.172,202308141340,2.098,100,740,660,,,511,681
SZSE.ETF.159915,LONG,202308141340,2.098,202308151004,2.097,100,-10,650,,,681,791
SZSE.ETF.159915,SHORT,202308151004,2.097,202308151413,2.094,100,30,680,,,791,950
SZSE.ETF.159915,LONG,202308151413,2.094,202308161047,2.093,100,-10,670,,,950,1074
SZSE.ETF.159915,SHORT,202308161047,2.093,202308161129,2.094,100,-10,660,,,1074,1116
SZSE.ETF.159915,LONG,202308161129,2.094,202308161306,2.092,100,-20,640,,,1116,1123
SZSE.ETF.159915,SHORT,202308161306,2.092,202308171045,2.079,100,130,770,,,1123,1312
