code,time,direct,action,price,qty,tag,fee,barno
SSE.ETF.510500,202308101008,LONG,OPEN,6.141,100,,0,361
SSE.ETF.510500,202308101109,LONG,CLOSE,6.125,100,,0,368
SSE.ETF.510500,202308101109,SHORT,OPEN,6.125,100,,0,368
SSE.ETF.510500,202308101402,SHORT,CLOSE,6.122,100,,0,444
SSE.ETF.510500,202308101402,LONG,OPEN,6.122,100,,0,444
SSE.ETF.510500,202308111008,LONG,CLOSE,6.103,100,,0,511
SSE.ETF.510500,202308111008,SHORT,OPEN,6.103,100,,0,511
SSE.ETF.510500,202308141328,SHORT,CLOSE,5.978,100,,0,669
SSE.ETF.510500,202308141328,LONG,OPEN,5.978,100,,0,669
SSE.ETF.510500,202308151003,LONG,CLOSE,5.993,100,,0,790
SSE.ETF.510500,202308151003,SHORT,OPEN,5.993,100,,0,790
SSE.ETF.510500,202308151421,SHORT,CLOSE,5.981,100,,0,958
SSE.ETF.510500,202308151421,LONG,OPEN,5.981,100,,0,958
SSE.ETF.510500,202308160949,LONG,CLOSE,5.969,100,,0,1016
SSE.ETF.510500,202308160949,SHORT,OPEN,5.969,100,,0,1016
SSE.ETF.510500,202308161114,SHORT,CLOSE,5.986,100,,0,1101
SSE.ETF.510500,202308161114,LONG,OPEN,5.986,100,,0,1101
SSE.ETF.510500,202308161336,LONG,CLOSE,5.965,100,,0,1153
SSE.ETF.510500,202308161336,SHORT,OPEN,5.965,100,,0,1153
SSE.ETF.510500,202308171040,SHORT,CLOSE,5.961,100,,0,1307
SSE.ETF.510500,202308171040,LONG,OPEN,5.961,100,,0,1307
