code,target,sigprice,gentime,usertag
SSE.ETF.512880,100,1.055,20230811094559560,
SSE.ETF.512880,-100,1.05,20230811100659800,
SSE.ETF.512880,-100,1.044,20230811102459570,
SSE.ETF.512880,-100,1.042,20230811102559500,
SSE.ETF.512880,-100,1.045,20230811102659590,
SSE.ETF.512880,-100,1.043,20230811102759500,
SSE.ETF.512880,-100,1.044,20230811102859690,
SSE.ETF.512880,-100,1.044,20230811102959650,
SSE.ETF.512880,-100,1.044,20230811103059100,
SSE.ETF.512880,-100,1.039,20230811103658421,
SSE.ETF.512880,-100,1.039,20230811103800000,
SSE.ETF.512880,-100,1.038,20230811103859680,
SSE.ETF.512880,-100,1.036,20230811103959670,
SSE.ETF.512880,-100,1.036,20230811104859810,
SSE.ETF.512880,-100,1.035,20230811104959460,
SSE.ETF.512880,-100,1.035,20230811105059730,
SSE.ETF.512880,-100,1.013,20230814093100000,
SSE.ETF.512880,-100,1.013,20230814093159950,
SSE.ETF.512880,-100,1.017,20230814093259000,
SSE.ETF.512880,-100,1.014,20230814093359500,
SSE.ETF.512880,-100,1.016,20230814093459960,
SSE.ETF.512880,-100,1.015,20230814093600200,
SSE.ETF.512880,-100,1.018,20230814093659970,
SSE.ETF.512880,-100,1.014,20230814093759500,
SSE.ETF.512880,-100,1.017,20230814093859700,
SSE.ETF.512880,-100,1.017,20230814093959000,
SSE.ETF.512880,-100,1.016,20230814094058500,
SSE.ETF.512880,-100,1.014,20230814094159500,
SSE.ETF.512880,-100,1.017,20230814094259500,
SSE.ETF.512880,-100,1.017,20230814094359500,
SSE.ETF.512880,-100,1.015,20230814094500200,
SSE.ETF.512880,-100,1.019,20230814094559700,
SSE.ETF.512880,-100,1.023,20230814094659500,
SSE.ETF.512880,-100,1.024,20230814094759500,
SSE.ETF.512880,-100,1.023,20230814094859700,
SSE.ETF.512880,-100,1.024,20230814094959990,
SSE.ETF.512880,-100,1.024,20230814095059500,
SSE.ETF.512880,-100,1.024,20230814095159530,
SSE.ETF.512880,-100,1.025,20230814095259550,
SSE.ETF.512880,-100,1.02,20230814095359560,
SSE.ETF.512880,-100,1.02,20230814095459500,
SSE.ETF.512880,-100,1.019,20230814095559500,
SSE.ETF.512880,-100,1.018,20230814095659510,
SSE.ETF.512880,-100,1.019,20230814095759700,
SSE.ETF.512880,-100,1.018,20230814095859050,
SSE.ETF.512880,-100,1.018,20230814095959560,
SSE.ETF.512880,-100,1.018,20230814100059990,
SSE.ETF.512880,-100,1.016,20230814100159050,
SSE.ETF.512880,-100,1.014,20230814100259500,
SSE.ETF.512880,-100,1.016,20230814100359560,
SSE.ETF.512880,-100,1.016,20230814100459620,
SSE.ETF.512880,-100,1.019,20230814100559610,
SSE.ETF.512880,-100,1.018,20230814100659570,
SSE.ETF.512880,-100,1.017,20230814100759500,
SSE.ETF.512880,-100,1.017,20230814100859580,
SSE.ETF.512880,-100,1.018,20230814100959630,
SSE.ETF.512880,-100,1.016,20230814101059550,
SSE.ETF.512880,-100,1.015,20230814101159630,
SSE.ETF.512880,-100,1.016,20230814101259620,
SSE.ETF.512880,-100,1.014,20230814101356190,
SSE.ETF.512880,-100,1.014,20230814101459630,
SSE.ETF.512880,-100,1.016,20230814101559500,
SSE.ETF.512880,-100,1.014,20230814101659670,
SSE.ETF.512880,-100,1.015,20230814101759700,
SSE.ETF.512880,-100,1.017,20230814101859650,
SSE.ETF.512880,-100,1.016,20230814101959620,
SSE.ETF.512880,-100,1.017,20230814102059670,
SSE.ETF.512880,-100,1.017,20230814102159660,
SSE.ETF.512880,-100,1.019,20230814102259700,
SSE.ETF.512880,-100,1.018,20230814102359680,
SSE.ETF.512880,-100,1.016,20230814102459710,
SSE.ETF.512880,-100,1.017,20230814102559700,
SSE.ETF.512880,-100,1.018,20230814102659700,
SSE.ETF.512880,-100,1.017,20230814102759700,
SSE.ETF.512880,-100,1.015,20230814102858901,
SSE.ETF.512880,-100,1.015,20230814102959000,
SSE.ETF.512880,-100,1.017,20230814103059870,
SSE.ETF.512880,-100,1.015,20230814103159956,
SSE.ETF.512880,-100,1.015,20230814103259000,
SSE.ETF.512880,-100,1.015,20230814103359840,
SSE.ETF.512880,-100,1.015,20230814103500000,
SSE.ETF.512880,-100,1.014,20230814103559350,
SSE.ETF.512880,-100,1.015,20230814103659500,
SSE.ETF.512880,-100,1.015,20230814103759800,
SSE.ETF.512880,-100,1.015,20230814103859760,
SSE.ETF.512880,-100,1.015,20230814103959500,
SSE.ETF.512880,-100,1.015,20230814104059000,
SSE.ETF.512880,-100,1.015,20230814104159500,
SSE.ETF.512880,-100,1.013,20230814104259940,
