code,target,sigprice,gentime,usertag
SZSE.ETF.159845,0,2.457,20230822142859770,
SZSE.ETF.159845,0,2.459,20230822142959752,
SZSE.ETF.159845,0,2.454,20230822143059745,
SZSE.ETF.159845,0,2.458,20230822143159746,
SZSE.ETF.159845,0,2.454,20230822143259893,
SZSE.ETF.159845,0,2.453,20230822143359915,
SZSE.ETF.159845,0,2.453,20230822143459901,
SZSE.ETF.159845,0,2.451,20230822143559731,
SZSE.ETF.159845,0,2.448,20230822143659728,
SZSE.ETF.159845,0,2.45,20230822143759727,
SZSE.ETF.159845,0,2.456,20230822145359700,
SZSE.ETF.159845,0,2.457,20230822145459700,
SZSE.ETF.159845,0,2.455,20230822145559700,
SZSE.ETF.159845,0,2.457,20230822145659700,
SZSE.ETF.159845,0,2.457,20230822145759700,
SZSE.ETF.159845,0,2.457,20230822145859700,
SZSE.ETF.159845,0,2.457,20230822150000257,
SZSE.ETF.159845,0,2.439,20230823093400428,
SZSE.ETF.159845,0,2.436,20230823093500165,
SZSE.ETF.159845,0,2.437,20230823093559998,
SZSE.ETF.159845,0,2.43,20230823093959884,
SZSE.ETF.159845,0,2.428,20230823094059951,
SZSE.ETF.159845,0,2.43,20230823094159955,
SZSE.ETF.159845,0,2.427,20230823094259792,
SZSE.ETF.159845,0,2.429,20230823094357631,
SZSE.ETF.159845,0,2.423,20230823094659974,
SZSE.ETF.159845,0,2.423,20230823094759838,
SZSE.ETF.159845,0,2.422,20230823094841089,
SZSE.ETF.159845,0,2.422,20230823095037051,
SZSE.ETF.159845,0,2.423,20230823095159914,
SZSE.ETF.159845,0,2.423,20230823095259894,
SZSE.ETF.159845,0,2.422,20230823095400261,
SZSE.ETF.159845,0,2.424,20230823095459810,
SZSE.ETF.159845,0,2.426,20230823095600189,
SZSE.ETF.159845,0,2.428,20230823095659812,
SZSE.ETF.159845,0,2.426,20230823095730468,
SZSE.ETF.159845,0,2.428,20230823095959927,
SZSE.ETF.159845,0,2.425,20230823100100124,
SZSE.ETF.159845,0,2.424,20230823100159792,
SZSE.ETF.159845,0,2.424,20230823100204598,
SZSE.ETF.159845,0,2.428,20230823100359976,
SZSE.ETF.159845,0,2.426,20230823100459791,
SZSE.ETF.159845,0,2.427,20230823100559869,
SZSE.ETF.159845,0,2.427,20230823100614641,
SZSE.ETF.159845,0,2.427,20230823100759899,
SZSE.ETF.159845,0,2.428,20230823100859839,
SZSE.ETF.159845,0,2.428,20230823100959966,
SZSE.ETF.159845,0,2.427,20230823101100257,
SZSE.ETF.159845,100,2.428,20230823101200231,
SZSE.ETF.159845,0,2.427,20230823101259767,
SZSE.ETF.159845,100,2.426,20230823101359785,
SZSE.ETF.159845,0,2.424,20230823101418320,
SZSE.ETF.159845,0,2.428,20230823101659911,
SZSE.ETF.159845,0,2.43,20230823101759981,
SZSE.ETF.159845,0,2.431,20230823101859885,
SZSE.ETF.159845,0,2.432,20230823101959856,
SZSE.ETF.159845,0,2.431,20230823102059814,
