code,time,direct,action,price,qty,tag,fee,barno
SZSE.ETF.159901,202308230952,LONG,OPEN,2.704,100,,0,9
SZSE.ETF.159901,202308230956,LONG,CLOSE,2.703,100,,0,13
SZSE.ETF.159901,202308230957,LONG,OPEN,2.703,100,,0,14
SZSE.ETF.159901,202308231002,LONG,CLOSE,2.703,100,,0,18
SZSE.ETF.159901,202308231052,LONG,OPEN,2.695,100,,0,52
SZSE.ETF.159901,202308231053,LONG,CLOSE,2.697,100,,0,53
SZSE.ETF.159901,202308231323,LONG,OPEN,2.697,100,,0,98
SZSE.ETF.159901,202308231327,LONG,CLOSE,2.693,100,,0,102
SZSE.ETF.159901,202308231330,LONG,OPEN,2.697,100,,0,105
SZSE.ETF.159901,202308231331,LONG,CLOSE,2.695,100,,0,106
SZSE.ETF.159901,202308231332,LONG,OPEN,2.695,100,,0,107
SZSE.ETF.159901,202308231333,LONG,CLOSE,2.693,100,,0,108
SZSE.ETF.159901,202308231335,LONG,OPEN,2.694,100,,0,110
SZSE.ETF.159901,202308231338,LONG,CLOSE,2.695,100,,0,113
SZSE.ETF.159901,202308231346,LONG,OPEN,2.695,100,,0,121
SZSE.ETF.159901,202308231351,LONG,CLOSE,2.696,100,,0,125
SZSE.ETF.159901,202308231357,LONG,OPEN,2.703,100,,0,131
SZSE.ETF.159901,202308231359,LONG,CLOSE,2.701,100,,0,132
SZSE.ETF.159901,202308231424,SHORT,OPEN,2.686,100,,0,157
SZSE.ETF.159901,202308231425,SHORT,CLOSE,2.688,100,,0,158
SZSE.ETF.159901,202308231425,LONG,OPEN,2.688,100,,0,158
SZSE.ETF.159901,202308231426,LONG,CLOSE,2.686,100,,0,159
SZSE.ETF.159901,202308231426,SHORT,OPEN,2.686,100,,0,159
SZSE.ETF.159901,202308231429,SHORT,OPEN,2.684,9900,,0,161
SZSE.ETF.159901,202308231431,SHORT,CLOSE,2.684,100,,0,163
SZSE.ETF.159901,202308231431,SHORT,CLOSE,2.684,9900,,0,163
SZSE.ETF.159901,202308231432,SHORT,OPEN,2.685,10000,,0,164
SZSE.ETF.159901,202308231434,SHORT,CLOSE,2.681,10000,,0,166
SZSE.ETF.159901,202308231434,LONG,OPEN,2.681,10000,,0,166
SZSE.ETF.159901,202308231435,LONG,CLOSE,2.68,10000,,0,167
SZSE.ETF.159901,202308231435,SHORT,OPEN,2.68,10000,,0,167
SZSE.ETF.159901,202308231437,SHORT,CLOSE,2.682,10000,,0,169
SZSE.ETF.159901,202308231437,LONG,OPEN,2.682,10000,,0,169
SZSE.ETF.159901,202308231438,LONG,CLOSE,2.679,10000,,0,170
SZSE.ETF.159901,202308231438,SHORT,OPEN,2.679,10000,,0,170
SZSE.ETF.159901,202308231439,SHORT,CLOSE,2.677,10000,,0,171
SZSE.ETF.159901,202308231440,LONG,OPEN,2.678,10000,,0,172
SZSE.ETF.159901,202308231442,LONG,CLOSE,2.676,10000,,0,174
SZSE.ETF.159901,202308231442,SHORT,OPEN,2.676,10000,,0,174
SZSE.ETF.159901,202308231443,SHORT,CLOSE,2.679,10000,,0,175
SZSE.ETF.159901,202308231443,LONG,OPEN,2.679,10000,,0,175
SZSE.ETF.159901,202308231444,LONG,CLOSE,2.679,10000,,0,176
SZSE.ETF.159901,202308231445,LONG,OPEN,2.683,10000,,321.96,177
SZSE.ETF.159901,202308231448,LONG,CLOSE,2.681,10000,,321.72,179
SZSE.ETF.159901,202308231448,SHORT,OPEN,2.681,10000,,321.72,179
SZSE.ETF.159901,202308231451,SHORT,CLOSE,2.679,10000,,321.48,182
SZSE.ETF.159901,202308231451,LONG,OPEN,2.679,10000,,321.48,182
SZSE.ETF.159901,202308231453,LONG,CLOSE,2.68,10000,,321.6,184
SZSE.ETF.159901,202308231453,SHORT,OPEN,2.68,10000,,321.6,184
SZSE.ETF.159901,202308231457,SHORT,CLOSE,2.676,10000,,321.12,188
SZSE.ETF.159901,202308231457,LONG,OPEN,2.676,10000,,321.12,188
SZSE.ETF.159901,202308231458,LONG,CLOSE,2.676,10000,,321.12,189
SZSE.ETF.159901,202308241407,SHORT,OPEN,2.716,10000,,325.92,214
SZSE.ETF.159901,202308241409,SHORT,CLOSE,2.713,10000,,325.56,215
SZSE.ETF.159901,202308251356,SHORT,OPEN,2.703,100,,3.24,420
SZSE.ETF.159901,202308251358,SHORT,CLOSE,2.708,100,,3.25,422
SZSE.ETF.159901,202308251358,LONG,OPEN,2.708,100,,3.25,422
SZSE.ETF.159901,202308251400,LONG,CLOSE,2.709,100,,3.25,424
SZSE.ETF.159901,202308251400,SHORT,OPEN,2.709,100,,3.25,424
SZSE.ETF.159901,202308251401,SHORT,CLOSE,2.707,100,,3.25,425
SZSE.ETF.159901,202308251402,SHORT,OPEN,2.702,100,,3.24,426
SZSE.ETF.159901,202308251403,SHORT,CLOSE,2.702,100,,3.24,427
