code,target,sigprice,gentime,usertag
SZSE.ETF.159919,0,3.844,20230825093200572,
SZSE.ETF.159919,0,3.847,20230825093300577,
SZSE.ETF.159919,-0,3.843,20230825093400588,
SZSE.ETF.159919,-0,3.846,20230825093500589,
SZSE.ETF.159919,-0,3.85,20230825093600648,
SZSE.ETF.159919,-0,3.848,20230825093700597,
SZSE.ETF.159919,-0,3.845,20230825093800619,
SZSE.ETF.159919,0,3.847,20230825093900615,
SZSE.ETF.159919,0,3.847,20230825094000600,
SZSE.ETF.159919,0,3.85,20230825094100612,
SZSE.ETF.159919,0,3.849,20230825094200542,
SZSE.ETF.159919,-0,3.848,20230825094300514,
SZSE.ETF.159919,-0,3.844,20230825094400536,
SZSE.ETF.159919,0,3.847,20230825094500514,
SZSE.ETF.159919,0,3.847,20230825094600636,
SZSE.ETF.159919,-0,3.852,20230825094700541,
SZSE.ETF.159919,-0,3.849,20230825094800558,
SZSE.ETF.159919,0,3.849,20230825094900493,
SZSE.ETF.159919,-0,3.848,20230825095000504,
SZSE.ETF.159919,-0,3.85,20230825095100533,
SZSE.ETF.159919,-0,3.849,20230825095200559,
SZSE.ETF.159919,-0,3.85,20230825095300550,
SZSE.ETF.159919,0,3.845,20230825095400492,
SZSE.ETF.159919,-0,3.849,20230825095500501,
SZSE.ETF.159919,-0,3.849,20230825095600485,
SZSE.ETF.159919,-0,3.852,20230825095700551,
SZSE.ETF.159919,0,3.85,20230825095800510,
SZSE.ETF.159919,-0,3.853,20230825095900474,
SZSE.ETF.159919,0,3.857,20230825100000469,
SZSE.ETF.159919,0,3.854,20230825100100455,
SZSE.ETF.159919,0,3.851,20230825100200448,
SZSE.ETF.159919,0,3.849,20230825100300463,
SZSE.ETF.159919,0,3.848,20230825100400455,
SZSE.ETF.159919,-0,3.847,20230825100500463,
SZSE.ETF.159919,0,3.845,20230825100600459,
SZSE.ETF.159919,-0,3.845,20230825100700458,
SZSE.ETF.159919,0,3.846,20230825100800446,
SZSE.ETF.159919,0,3.845,20230825100900499,
SZSE.ETF.159919,-0,3.847,20230825101000477,
SZSE.ETF.159919,-0,3.848,20230825101100254,
SZSE.ETF.159919,0,3.853,20230825101300213,
SZSE.ETF.159919,-0,3.852,20230825101400216,
SZSE.ETF.159919,-0,3.854,20230825101500250,
SZSE.ETF.159919,0,3.855,20230825101600239,
SZSE.ETF.159919,0,3.859,20230825101700333,
SZSE.ETF.159919,-0,3.857,20230825101800216,
SZSE.ETF.159919,-0,3.855,20230825101900209,
SZSE.ETF.159919,-0,3.855,20230825102000204,
SZSE.ETF.159919,-0,3.852,20230825102100272,
SZSE.ETF.159919,0,3.858,20230825102200328,
SZSE.ETF.159919,0,3.85,20230825102300200,
SZSE.ETF.159919,-0,3.856,20230825102311138,
SZSE.ETF.159919,-0,3.857,20230825102500201,
SZSE.ETF.159919,-0,3.852,20230825102600197,
SZSE.ETF.159919,0,3.846,20230825102700172,
SZSE.ETF.159919,-0,3.851,20230825102800193,
SZSE.ETF.159919,-0,3.846,20230825102900174,
SZSE.ETF.159919,0,3.851,20230825103000182,
SZSE.ETF.159919,-0,3.847,20230825103100281,
SZSE.ETF.159919,0,3.853,20230825103200179,
SZSE.ETF.159919,-0,3.852,20230825103300170,
SZSE.ETF.159919,0,3.855,20230825103400185,
SZSE.ETF.159919,0,3.854,20230825103552874,
SZSE.ETF.159919,-0,3.852,20230825103600157,
SZSE.ETF.159919,-0,3.853,20230825103700155,
SZSE.ETF.159919,-0,3.853,20230825103800148,
SZSE.ETF.159919,-0,3.849,20230825103900157,
SZSE.ETF.159919,-0,3.849,20230825104000146,
SZSE.ETF.159919,-0,3.854,20230825104100147,
SZSE.ETF.159919,0,3.849,20230825104200148,
SZSE.ETF.159919,-0,3.849,20230825104300151,
SZSE.ETF.159919,0,3.848,20230825104400139,
SZSE.ETF.159919,-0,3.848,20230825104500139,
SZSE.ETF.159919,-0,3.847,20230825104600140,
SZSE.ETF.159919,-0,3.851,20230825104700143,
SZSE.ETF.159919,0,3.851,20230825104800124,
SZSE.ETF.159919,-0,3.85,20230825104900118,
SZSE.ETF.159919,0,3.851,20230825105000119,
SZSE.ETF.159919,-0,3.857,20230825105100121,
SZSE.ETF.159919,0,3.852,20230825105200162,
SZSE.ETF.159919,0,3.855,20230825105300110,
SZSE.ETF.159919,-0,3.852,20230825105400114,
SZSE.ETF.159919,-0,3.857,20230825105500124,
SZSE.ETF.159919,-0,3.85,20230825105600108,
SZSE.ETF.159919,0,3.855,20230825105700101,
SZSE.ETF.159919,-0,3.85,20230825105800147,
SZSE.ETF.159919,-0,3.849,20230825105900096,
SZSE.ETF.159919,-0,3.849,20230825110000105,
SZSE.ETF.159919,-0,3.847,20230825110100100,
SZSE.ETF.159919,0,3.847,20230825110400096,
SZSE.ETF.159919,0,3.847,20230825110500084,
SZSE.ETF.159919,0,3.852,20230825110600090,
SZSE.ETF.159919,0,3.848,20230825110700077,
SZSE.ETF.159919,-0,3.849,20230825110800081,
SZSE.ETF.159919,-0,3.847,20230825110900085,
SZSE.ETF.159919,0,3.847,20230825111000078,
SZSE.ETF.159919,0,3.849,20230825111100068,
SZSE.ETF.159919,0,3.855,20230825111200082,
SZSE.ETF.159919,-0,3.852,20230825111300069,
SZSE.ETF.159919,-0,3.849,20230825111400066,
SZSE.ETF.159919,-0,3.849,20230825111500074,
SZSE.ETF.159919,-0,3.849,20230825111600124,
SZSE.ETF.159919,-0,3.848,20230825111700097,
SZSE.ETF.159919,-0,3.845,20230825111800070,
SZSE.ETF.159919,-0,3.845,20230825111900031,
SZSE.ETF.159919,-0,3.842,20230825112000108,
SZSE.ETF.159919,0,3.844,20230825112100053,
SZSE.ETF.159919,-0,3.843,20230825112200043,
SZSE.ETF.159919,-0,3.842,20230825112300085,
SZSE.ETF.159919,0,3.844,20230825112400023,
SZSE.ETF.159919,0,3.844,20230825112500050,
SZSE.ETF.159919,0,3.846,20230825112600069,
SZSE.ETF.159919,0,3.845,20230825112700042,
SZSE.ETF.159919,0,3.846,20230825112800023,
SZSE.ETF.159919,-0,3.853,20230825112900029,
SZSE.ETF.159919,-0,3.851,20230825113000054,
SZSE.ETF.159919,0,3.847,20230825130059800,
SZSE.ETF.159919,0,3.854,20230825130159815,
SZSE.ETF.159919,-0,3.854,20230825130259800,
SZSE.ETF.159919,-0,3.845,20230825130400800,
SZSE.ETF.159919,0,3.844,20230825130459858,
SZSE.ETF.159919,-0,3.843,20230825130559815,
SZSE.ETF.159919,-0,3.841,20230825130659800,
SZSE.ETF.159919,-0,3.84,20230825130759800,
SZSE.ETF.159919,-0,3.838,20230825130859800,
SZSE.ETF.159919,0,3.838,20230825131000800,
SZSE.ETF.159919,0,3.841,20230825131119300,
SZSE.ETF.159919,0,3.841,20230825131159800,
SZSE.ETF.159919,0,3.84,20230825131259803,
SZSE.ETF.159919,0,3.843,20230825131359825,
SZSE.ETF.159919,0,3.843,20230825131500800,
SZSE.ETF.159919,0,3.838,20230825131601300,
SZSE.ETF.159919,-0,3.844,20230825131659800,
SZSE.ETF.159919,0,3.847,20230825131759846,
SZSE.ETF.159919,-0,3.846,20230825131859800,
SZSE.ETF.159919,0,3.843,20230825131959811,
SZSE.ETF.159919,-0,3.848,20230825132059800,
SZSE.ETF.159919,0,3.852,20230825132159800,
SZSE.ETF.159919,-0,3.849,20230825132259800,
SZSE.ETF.159919,-0,3.839,20230825132359800,
SZSE.ETF.159919,0,3.847,20230825132501300,
SZSE.ETF.159919,-0,3.845,20230825132559800,
SZSE.ETF.159919,0,3.849,20230825132701300,
SZSE.ETF.159919,-0,3.848,20230825132800800,
SZSE.ETF.159919,-0,3.851,20230825132900800,
SZSE.ETF.159919,-0,3.846,20230825132959300,
SZSE.ETF.159919,0,3.845,20230825133059769,
SZSE.ETF.159919,-0,3.843,20230825133159765,
SZSE.ETF.159919,0,3.845,20230825133259772,
SZSE.ETF.159919,-0,3.844,20230825133359692,
SZSE.ETF.159919,-0,3.843,20230825133459751,
SZSE.ETF.159919,0,3.849,20230825133559773,
SZSE.ETF.159919,-0,3.847,20230825133659693,
SZSE.ETF.159919,0,3.846,20230825133759686,
SZSE.ETF.159919,-0,3.847,20230825133859685,
SZSE.ETF.159919,-0,3.843,20230825133959736,
SZSE.ETF.159919,0,3.844,20230825134059688,
SZSE.ETF.159919,-0,3.841,20230825134159782,
SZSE.ETF.159919,0,3.843,20230825134259696,
SZSE.ETF.159919,-0,3.841,20230825134359752,
SZSE.ETF.159919,-0,3.845,20230825134459664,
