code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.ETF.159949,LONG,202308231339,0.873,202308231341,0.873,100,0,0,,,149,151
SZSE.ETF.159949,LONG,202308231342,0.873,202308231343,0.873,100,0,0,,,152,153
SZSE.ETF.159949,LONG,202308231344,0.873,202308231345,0.873,100,0,0,,,154,155
SZSE.ETF.159949,LONG,202308231349,0.873,202308231351,0.873,100,0,0,,,159,160
SZSE.ETF.159949,SHORT,202308231403,0.874,202308231404,0.873,100,10,10,,,170,171
SZSE.ETF.159949,SHORT,202308231424,0.871,202308231425,0.871,100,-0,10,,,191,192
SZSE.ETF.159949,LONG,202308231426,0.87,202308231427,0.87,100,0,10,,,193,194
SZSE.ETF.159949,SHORT,202308231427,0.87,202308231431,0.869,100,10,20,,,194,197
SZSE.ETF.159949,SHORT,202308231429,0.869,202308231431,0.869,9900,-0,20,,,195,197
SZSE.ETF.159949,LONG,202308231431,0.869,202308231432,0.868,10000,-1000,-980,,,197,198
SZSE.ETF.159949,SHORT,202308231432,0.868,202308231434,0.868,10000,-0,-980,,,198,200
SZSE.ETF.159949,LONG,202308231434,0.868,202308231435,0.867,10000,-1000,-1980,,,200,201
SZSE.ETF.159949,SHORT,202308231435,0.867,202308231437,0.868,10000,-1000,-2980,,,201,203
SZSE.ETF.159949,LONG,202308231437,0.868,202308231438,0.867,10000,-1000,-3980,,,203,204
SZSE.ETF.159949,SHORT,202308231438,0.867,202308231441,0.867,10000,-0,-3980,,,204,207
SZSE.ETF.159949,LONG,202308231441,0.867,202308231442,0.866,10000,-1000,-4980,,,207,208
SZSE.ETF.159949,SHORT,202308231442,0.866,202308231443,0.867,10000,-1000,-5980,,,208,209
SZSE.ETF.159949,LONG,202308231443,0.867,202308231448,0.867,10000,0,-5980,,,209,212
SZSE.ETF.159949,SHORT,202308231448,0.867,202308231451,0.867,10000,-0,-5980,,,212,215
SZSE.ETF.159949,LONG,202308231451,0.867,202308231454,0.866,10000,-1000,-6980,,,215,218
SZSE.ETF.159949,SHORT,202308231454,0.866,202308231458,0.865,10000,1000,-5980,,,218,222
SZSE.ETF.159949,LONG,202308231458,0.865,202308231459,0.865,10000,0,-5980,,,222,223
SZSE.ETF.159949,LONG,202308241424,0.881,202308241425,0.88,10000,-1000,-6980,,,262,263
SZSE.ETF.159949,SHORT,202308241453,0.876,202308241457,0.877,10000,-1000,-7980,,,280,282
SZSE.ETF.159949,LONG,202308241457,0.877,202308241458,0.876,10000,-1000,-8980,,,282,283
