code,time,direct,action,price,qty,tag,fee,barno
SZSE.ETF.159901,202308280956,SHORT,OPEN,2.763,100,,3.32,2
SZSE.ETF.159901,202308280958,SHORT,CLOSE,2.762,100,,3.31,4
SZSE.ETF.159901,202308280958,LONG,OPEN,2.762,100,,3.31,4
SZSE.ETF.159901,202308281001,LONG,CLOSE,2.763,100,,3.32,7
SZSE.ETF.159901,202308281001,SHORT,OPEN,2.763,100,,3.32,7
SZSE.ETF.159901,202308281003,SHORT,CLOSE,2.763,100,,3.32,9
SZSE.ETF.159901,202308281003,LONG,OPEN,2.763,100,,3.32,9
SZSE.ETF.159901,202308281006,LONG,CLOSE,2.763,100,,3.32,12
SZSE.ETF.159901,202308281006,SHORT,OPEN,2.763,100,,3.32,12
SZSE.ETF.159901,202308281008,SHORT,CLOSE,2.764,100,,3.32,14
SZSE.ETF.159901,202308281008,LONG,OPEN,2.764,100,,3.32,14
SZSE.ETF.159901,202308281009,LONG,CLOSE,2.76,100,,3.31,15
SZSE.ETF.159901,202308281009,SHORT,OPEN,2.76,100,,3.31,15
SZSE.ETF.159901,202308281013,SHORT,CLOSE,2.757,100,,3.31,19
SZSE.ETF.159901,202308281013,LONG,OPEN,2.757,100,,3.31,19
SZSE.ETF.159901,202308281014,LONG,CLOSE,2.754,100,,3.3,20
SZSE.ETF.159901,202308281014,SHORT,OPEN,2.754,100,,3.3,20
SZSE.ETF.159901,202308281016,SHORT,CLOSE,2.753,100,,3.3,22
SZSE.ETF.159901,202308281016,LONG,OPEN,2.753,100,,3.3,22
SZSE.ETF.159901,202308281018,LONG,CLOSE,2.755,100,,3.31,24
SZSE.ETF.159901,202308281018,SHORT,OPEN,2.755,100,,3.31,24
SZSE.ETF.159901,202308281019,SHORT,CLOSE,2.763,100,,3.32,25
SZSE.ETF.159901,202308281019,LONG,OPEN,2.763,100,,3.32,25
SZSE.ETF.159901,202308281020,LONG,CLOSE,2.752,100,,3.3,26
SZSE.ETF.159901,202308281020,SHORT,OPEN,2.752,100,,3.3,26
SZSE.ETF.159901,202308281021,SHORT,CLOSE,2.749,100,,3.3,27
SZSE.ETF.159901,202308281023,SHORT,OPEN,2.746,100,,3.3,29
SZSE.ETF.159901,202308281024,SHORT,CLOSE,2.745,100,,3.29,30
SZSE.ETF.159901,202308281024,LONG,OPEN,2.745,100,,3.29,30
SZSE.ETF.159901,202308281025,LONG,CLOSE,2.745,100,,3.29,31
SZSE.ETF.159901,202308281025,SHORT,OPEN,2.745,100,,3.29,31
SZSE.ETF.159901,202308281026,SHORT,CLOSE,2.747,100,,3.3,32
SZSE.ETF.159901,202308281026,LONG,OPEN,2.747,100,,3.3,32
SZSE.ETF.159901,202308281028,LONG,CLOSE,2.748,100,,3.3,34
SZSE.ETF.159901,202308281028,SHORT,OPEN,2.748,100,,3.3,34
SZSE.ETF.159901,202308281029,SHORT,CLOSE,2.764,100,,3.32,35
SZSE.ETF.159901,202308281029,LONG,OPEN,2.764,100,,3.32,35
SZSE.ETF.159901,202308281030,LONG,CLOSE,2.748,100,,3.3,36
SZSE.ETF.159901,202308281030,SHORT,OPEN,2.748,100,,3.3,36
SZSE.ETF.159901,202308281031,SHORT,CLOSE,2.75,100,,3.3,37
SZSE.ETF.159901,202308281031,LONG,OPEN,2.75,100,,3.3,37
SZSE.ETF.159901,202308281033,LONG,CLOSE,2.75,100,,3.3,39
SZSE.ETF.159901,202308281034,LONG,OPEN,2.752,100,,3.3,40
SZSE.ETF.159901,202308281035,LONG,CLOSE,2.75,100,,3.3,41
SZSE.ETF.159901,202308281036,LONG,OPEN,2.75,100,,3.3,42
SZSE.ETF.159901,202308281037,LONG,CLOSE,2.752,100,,3.3,43
SZSE.ETF.159901,202308281038,LONG,OPEN,2.754,100,,3.3,44
SZSE.ETF.159901,202308281039,LONG,CLOSE,2.755,100,,3.31,45
SZSE.ETF.159901,202308281040,LONG,OPEN,2.758,100,,3.31,46
SZSE.ETF.159901,202308281041,LONG,CLOSE,2.759,100,,3.31,47
SZSE.ETF.159901,202308281046,SHORT,OPEN,2.761,100,,3.31,52
SZSE.ETF.159901,202308281047,SHORT,CLOSE,2.763,100,,3.32,53
SZSE.ETF.159901,202308281051,LONG,OPEN,2.762,100,,3.31,57
SZSE.ETF.159901,202308281052,LONG,CLOSE,2.763,100,,3.32,58
SZSE.ETF.159901,202308281126,SHORT,OPEN,2.755,100,,3.31,92
SZSE.ETF.159901,202308281127,SHORT,CLOSE,2.755,100,,3.31,93
SZSE.ETF.159901,202308281129,LONG,OPEN,2.756,100,,3.31,95
SZSE.ETF.159901,202308281130,LONG,CLOSE,2.756,100,,3.31,96
SZSE.ETF.159901,202308281305,SHORT,OPEN,2.746,100,,3.3,101
SZSE.ETF.159901,202308281307,SHORT,CLOSE,2.743,100,,3.29,103
SZSE.ETF.159901,202308281327,SHORT,OPEN,2.725,100,,3.27,123
SZSE.ETF.159901,202308281328,SHORT,CLOSE,2.727,100,,3.27,124
SZSE.ETF.159901,202308281328,LONG,OPEN,2.727,100,,3.27,124
SZSE.ETF.159901,202308281330,LONG,CLOSE,2.732,100,,3.28,126
SZSE.ETF.159901,202308281427,LONG,OPEN,2.716,100,,3.26,183
SZSE.ETF.159901,202308281429,LONG,CLOSE,2.717,100,,3.26,185
SZSE.ETF.159901,202308281438,LONG,OPEN,2.715,100,,3.26,194
SZSE.ETF.159901,202308281440,LONG,CLOSE,2.717,100,,3.26,196
SZSE.ETF.159901,202308281440,SHORT,OPEN,2.717,100,,3.26,196
SZSE.ETF.159901,202308281441,SHORT,CLOSE,2.712,100,,3.25,197
