code,time,direct,action,price,qty,tag,fee,barno
SZSE.ETF.159915,202308280958,LONG,OPEN,2.051,100,,2.46,4
SZSE.ETF.159915,202308280959,LONG,CLOSE,2.064,100,,2.48,5
SZSE.ETF.159915,202308280959,SHORT,OPEN,2.064,100,,2.48,5
SZSE.ETF.159915,202308281000,SHORT,CLOSE,2.056,100,,2.47,6
SZSE.ETF.159915,202308281000,LONG,OPEN,2.056,100,,2.47,6
SZSE.ETF.159915,202308281001,LONG,CLOSE,2.05,100,,2.46,7
SZSE.ETF.159915,202308281001,SHORT,OPEN,2.05,100,,2.46,7
SZSE.ETF.159915,202308281003,SHORT,CLOSE,2.052,100,,2.46,9
SZSE.ETF.159915,202308281003,LONG,OPEN,2.052,100,,2.46,9
SZSE.ETF.159915,202308281006,LONG,CLOSE,2.055,100,,2.47,12
SZSE.ETF.159915,202308281006,SHORT,OPEN,2.055,100,,2.47,12
SZSE.ETF.159915,202308281008,SHORT,CLOSE,2.053,100,,2.46,14
SZSE.ETF.159915,202308281008,LONG,OPEN,2.053,100,,2.46,14
SZSE.ETF.159915,202308281009,LONG,CLOSE,2.051,100,,2.46,15
SZSE.ETF.159915,202308281009,SHORT,OPEN,2.051,100,,2.46,15
SZSE.ETF.159915,202308281010,SHORT,CLOSE,2.047,100,,2.46,16
SZSE.ETF.159915,202308281022,LONG,OPEN,2.039,100,,2.45,28
SZSE.ETF.159915,202308281023,LONG,CLOSE,2.035,100,,2.44,29
SZSE.ETF.159915,202308281023,SHORT,OPEN,2.035,100,,2.44,29
SZSE.ETF.159915,202308281026,SHORT,CLOSE,2.035,100,,2.44,32
SZSE.ETF.159915,202308281026,LONG,OPEN,2.035,100,,2.44,32
SZSE.ETF.159915,202308281027,LONG,CLOSE,2.037,100,,2.44,33
SZSE.ETF.159915,202308281456,SHORT,OPEN,2.011,100,,2.41,212
SZSE.ETF.159915,202308281457,SHORT,CLOSE,2.012,100,,2.41,213
