code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.ETF.159919,SHORT,202308280956,3.956,202308280958,3.954,100,20,20,,,2,4
SZSE.ETF.159919,LONG,202308280958,3.954,202308281001,3.956,100,20,40,,,4,7
SZSE.ETF.159919,SHORT,202308281001,3.956,202308281003,3.957,100,-10,30,,,7,9
SZSE.ETF.159919,LONG,202308281003,3.957,202308281006,3.961,100,40,70,,,9,12
SZSE.ETF.159919,SHORT,202308281006,3.961,202308281012,3.942,100,190,260,,,12,18
SZSE.ETF.159919,LONG,202308281012,3.942,202308281014,3.945,100,30,290,,,18,20
SZSE.ETF.159919,SHORT,202308281014,3.945,202308281016,3.946,100,-10,280,,,20,22
SZSE.ETF.159919,LONG,202308281016,3.946,202308281018,3.944,100,-20,260,,,22,24
SZSE.ETF.159919,SHORT,202308281018,3.944,202308281019,3.946,100,-20,240,,,24,25
SZSE.ETF.159919,LONG,202308281019,3.946,202308281020,3.936,100,-100,140,,,25,26
SZSE.ETF.159919,SHORT,202308281020,3.936,202308281022,3.936,100,-0,140,,,26,28
SZSE.ETF.159919,LONG,202308281022,3.936,202308281023,3.932,100,-40,100,,,28,29
SZSE.ETF.159919,SHORT,202308281023,3.932,202308281026,3.933,100,-10,90,,,29,32
SZSE.ETF.159919,LONG,202308281026,3.933,202308281028,3.935,100,20,110,,,32,34
SZSE.ETF.159919,SHORT,202308281028,3.935,202308281029,3.942,100,-70,40,,,34,35
SZSE.ETF.159919,LONG,202308281032,3.945,202308281033,3.938,100,-70,-30,,,38,39
SZSE.ETF.159919,SHORT,202308281033,3.938,202308281034,3.94,100,-20,-50,,,39,40
SZSE.ETF.159919,LONG,202308281034,3.94,202308281035,3.937,100,-30,-80,,,40,41
SZSE.ETF.159919,SHORT,202308281035,3.937,202308281036,3.941,100,-40,-120,,,41,42
SZSE.ETF.159919,LONG,202308281036,3.941,202308281038,3.941,100,0,-120,,,42,44
SZSE.ETF.159919,SHORT,202308281038,3.941,202308281039,3.945,100,-40,-160,,,44,45
SZSE.ETF.159919,LONG,202308281039,3.945,202308281041,3.949,100,40,-120,,,45,47
SZSE.ETF.159919,SHORT,202308281041,3.949,202308281042,3.951,100,-20,-140,,,47,48
SZSE.ETF.159919,LONG,202308281042,3.951,202308281044,3.948,100,-30,-170,,,48,50
SZSE.ETF.159919,SHORT,202308281044,3.948,202308281045,3.95,100,-20,-190,,,50,51
SZSE.ETF.159919,LONG,202308281045,3.95,202308281046,3.949,100,-10,-200,,,51,52
SZSE.ETF.159919,SHORT,202308281046,3.949,202308281047,3.953,100,-40,-240,,,52,53
SZSE.ETF.159919,LONG,202308281047,3.953,202308281048,3.949,100,-40,-280,,,53,54
SZSE.ETF.159919,LONG,202308281049,3.951,202308281050,3.948,100,-30,-310,,,55,56
SZSE.ETF.159919,LONG,202308281054,3.958,202308281055,3.954,100,-40,-350,,,60,61
SZSE.ETF.159919,SHORT,202308281055,3.954,202308281056,3.95,100,40,-310,,,61,62
SZSE.ETF.159919,LONG,202308281059,3.947,202308281100,3.946,100,-10,-320,,,65,66
SZSE.ETF.159919,SHORT,202308281100,3.946,202308281101,3.948,100,-20,-340,,,66,67
SZSE.ETF.159919,LONG,202308281101,3.948,202308281102,3.948,100,0,-340,,,67,68
SZSE.ETF.159919,SHORT,202308281102,3.948,202308281104,3.941,100,70,-270,,,68,70
SZSE.ETF.159919,LONG,202308281104,3.941,202308281105,3.945,100,40,-230,,,70,71
SZSE.ETF.159919,LONG,202308281128,3.937,202308281129,3.936,100,-10,-240,,,94,95
SZSE.ETF.159919,SHORT,202308281129,3.936,202308281130,3.936,100,-0,-240,,,95,96
SZSE.ETF.159919,LONG,202308281130,3.936,202308281302,3.926,100,-100,-340,,,96,99
SZSE.ETF.159919,SHORT,202308281302,3.926,202308281303,3.925,100,10,-330,,,99,100
SZSE.ETF.159919,SHORT,202308281304,3.922,202308281306,3.92,100,20,-310,,,101,102
SZSE.ETF.159919,LONG,202308281445,3.881,202308281447,3.903,100,220,-90,,,201,204
SZSE.ETF.159919,SHORT,202308281447,3.903,202308281449,3.904,100,-10,-100,,,204,205
SZSE.ETF.159919,LONG,202308281449,3.904,202308281450,3.886,100,-180,-280,,,205,206
SZSE.ETF.159919,SHORT,202308281450,3.886,202308281455,3.892,100,-60,-340,,,206,211
SZSE.ETF.159919,LONG,202308281455,3.892,202308281457,3.894,100,20,-320,,,211,213
SZSE.ETF.159919,SHORT,202308281457,3.894,202308281458,3.894,100,-0,-320,,,213,214
