code,target,sigprice,gentime,usertag
SZSE.ETF.159901,-0,2.73,20230829093200032,
SZSE.ETF.159901,-0,2.727,20230829093300001,
SZSE.ETF.159901,-0,2.726,20230829093359995,
SZSE.ETF.159901,-0,2.728,20230829093500001,
SZSE.ETF.159901,0,2.728,20230829093600016,
SZSE.ETF.159901,0,2.734,20230829093700486,
SZSE.ETF.159901,-0,2.733,20230829093800048,
SZSE.ETF.159901,-0,2.73,20230829093859985,
SZSE.ETF.159901,0,2.731,20230829093959985,
SZSE.ETF.159901,0,2.734,20230829094059501,
SZSE.ETF.159901,0,2.736,20230829094159501,
SZSE.ETF.159901,-0,2.734,20230829094259985,
SZSE.ETF.159901,100,2.738,20230829094400001,
SZSE.ETF.159901,0,2.741,20230829100359936,
SZSE.ETF.159901,0,2.732,20230829100459927,
SZSE.ETF.159901,0,2.738,20230829100559922,
SZSE.ETF.159901,-0,2.731,20230829100659927,
SZSE.ETF.159901,0,2.733,20230829100759921,
SZSE.ETF.159901,0,2.736,20230829100900196,
SZSE.ETF.159901,0,2.735,20230829100959912,
SZSE.ETF.159901,0,2.739,20230829101059949,
SZSE.ETF.159901,-0,2.738,20230829101159909,
SZSE.ETF.159901,-0,2.738,20230829101259911,
SZSE.ETF.159901,-0,2.736,20230829101400157,
SZSE.ETF.159901,0,2.738,20230829101500127,
SZSE.ETF.159901,-0,2.736,20230829101600239,
SZSE.ETF.159901,-0,2.735,20230829101700197,
SZSE.ETF.159901,0,2.736,20230829101800157,
SZSE.ETF.159901,0,2.74,20230829101900160,
SZSE.ETF.159901,-0,2.741,20230829102000169,
SZSE.ETF.159901,0,2.742,20230829102100204,
SZSE.ETF.159901,0,2.744,20230829102200165,
SZSE.ETF.159901,0,2.744,20230829102300202,
SZSE.ETF.159901,-0,2.744,20230829102400210,
SZSE.ETF.159901,0,2.742,20230829102500167,
SZSE.ETF.159901,-0,2.742,20230829102600144,
SZSE.ETF.159901,0,2.743,20230829102700188,
SZSE.ETF.159901,-0,2.741,20230829102800113,
SZSE.ETF.159901,0,2.744,20230829102900142,
SZSE.ETF.159901,0,2.745,20230829103000162,
SZSE.ETF.159901,0,2.745,20230829103100211,
SZSE.ETF.159901,0,2.748,20230829103200196,
SZSE.ETF.159901,0,2.748,20230829103300162,
SZSE.ETF.159901,-0,2.749,20230829103400141,
SZSE.ETF.159901,0,2.748,20230829103500177,
SZSE.ETF.159901,-0,2.747,20230829103600160,
SZSE.ETF.159901,0,2.733,20230829103700154,
SZSE.ETF.159901,0,2.749,20230829103800139,
SZSE.ETF.159901,0,2.75,20230829103900121,
SZSE.ETF.159901,0,2.752,20230829104000179,
SZSE.ETF.159901,0,2.754,20230829104100094,
SZSE.ETF.159901,0,2.756,20230829104200105,
SZSE.ETF.159901,0,2.76,20230829104300162,
SZSE.ETF.159901,-0,2.759,20230829104400146,
SZSE.ETF.159901,0,2.76,20230829104600103,
SZSE.ETF.159901,-0,2.758,20230829104700082,
SZSE.ETF.159901,-0,2.757,20230829104800146,
SZSE.ETF.159901,0,2.757,20230829104900135,
SZSE.ETF.159901,0,2.76,20230829105000084,
SZSE.ETF.159901,-0,2.759,20230829105100083,
SZSE.ETF.159901,0,2.763,20230829105200089,
SZSE.ETF.159901,-0,2.763,20230829105300085,
SZSE.ETF.159901,-0,2.76,20230829105359967,
SZSE.ETF.159901,-0,2.76,20230829105459971,
SZSE.ETF.159901,-0,2.76,20230829105600078,
SZSE.ETF.159901,-0,2.758,20230829105700074,
SZSE.ETF.159901,0,2.757,20230829105800063,
SZSE.ETF.159901,0,2.759,20230829105859980,
SZSE.ETF.159901,0,2.763,20230829110000152,
SZSE.ETF.159901,-0,2.761,20230829110100113,
SZSE.ETF.159901,0,2.762,20230829110159999,
SZSE.ETF.159901,0,2.763,20230829110259993,
SZSE.ETF.159901,0,2.764,20230829110359997,
SZSE.ETF.159901,-0,2.765,20230829110500035,
SZSE.ETF.159901,0,2.769,20230829110600068,
SZSE.ETF.159901,0,2.769,20230829110700037,
SZSE.ETF.159901,0,2.77,20230829110800029,
SZSE.ETF.159901,0,2.769,20230829110959988,
SZSE.ETF.159901,-0,2.767,20230829111100030,
SZSE.ETF.159901,0,2.769,20230829111159981,
SZSE.ETF.159901,0,2.772,20230829111259955,
SZSE.ETF.159901,0,2.773,20230829111359971,
SZSE.ETF.159901,-0,2.773,20230829111500224,
SZSE.ETF.159901,0,2.773,20230829111559986,
SZSE.ETF.159901,0,2.773,20230829111659946,
SZSE.ETF.159901,0,2.775,20230829111759976,
SZSE.ETF.159901,0,2.774,20230829111859952,
SZSE.ETF.159901,-0,2.775,20230829112000210,
SZSE.ETF.159901,0,2.778,20230829112100207,
SZSE.ETF.159901,-0,2.777,20230829112300209,
SZSE.ETF.159901,0,2.778,20230829112400203,
SZSE.ETF.159901,0,2.777,20230829112500198,
SZSE.ETF.159901,0,2.778,20230829112559991,
SZSE.ETF.159901,0,2.78,20230829112700202,
SZSE.ETF.159901,0,2.781,20230829112800190,
SZSE.ETF.159901,0,2.783,20230829112859999,
SZSE.ETF.159901,1000,2.786,20230829113000207,
SZSE.ETF.159901,-0,2.772,20230829140959510,
SZSE.ETF.159901,0,2.772,20230829141059490,
SZSE.ETF.159901,-0,2.771,20230829141159611,
SZSE.ETF.159901,-0,2.771,20230829141259604,
SZSE.ETF.159901,-0,2.768,20230829141359630,
SZSE.ETF.159901,-0,2.767,20230829141459599,
SZSE.ETF.159901,-0,2.765,20230829141559618,
SZSE.ETF.159901,0,2.766,20230829141659549,
SZSE.ETF.159901,0,2.775,20230829141759512,
SZSE.ETF.159901,0,2.767,20230829141859468,
SZSE.ETF.159901,-0,2.766,20230829141959489,
SZSE.ETF.159901,0,2.769,20230829142059483,
SZSE.ETF.159901,0,2.769,20230829142159485,
SZSE.ETF.159901,-0,2.768,20230829142259427,
SZSE.ETF.159901,-0,2.772,20230829142359498,
SZSE.ETF.159901,-0,2.768,20230829142459442,
SZSE.ETF.159901,-0,2.766,20230829142559501,
SZSE.ETF.159901,-0,2.765,20230829142659440,
SZSE.ETF.159901,-0,2.767,20230829142800299,
SZSE.ETF.159901,-0,2.765,20230829142900220,
SZSE.ETF.159901,-0,2.775,20230829143000845,
SZSE.ETF.159901,-0,2.763,20230829143100207,
SZSE.ETF.159901,0,2.764,20230829143159601,
SZSE.ETF.159901,-0,2.762,20230829143300214,
SZSE.ETF.159901,-0,2.761,20230829143400206,
SZSE.ETF.159901,-0,2.761,20230829143500236,
SZSE.ETF.159901,0,2.761,20230829143600232,
SZSE.ETF.159901,0,2.762,20230829143700188,
SZSE.ETF.159901,0,2.764,20230829143800256,
SZSE.ETF.159901,0,2.764,20230829143900173,
SZSE.ETF.159901,0,2.766,20230829144000785,
SZSE.ETF.159901,0,2.764,20230829144100176,
