code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SSE.ETF.510050,SHORT,202309010932,2.606,202309010934,2.608,10000,-20,-20,,,220,222
SSE.ETF.510050,LONG,202309010934,2.608,202309010935,2.611,10000,30,10,,,222,223
SSE.ETF.510050,SHORT,202309010935,2.611,202309010936,2.61,10000,10,20,,,223,224
SSE.ETF.510050,LONG,202309010936,2.61,202309010937,2.609,10000,-10,10,,,224,225
SSE.ETF.510050,SHORT,202309010937,2.609,202309010940,2.61,10000,-10,4.44089e-12,,,225,228
SSE.ETF.510050,LONG,202309010940,2.61,202309010942,2.608,10000,-20,-20,,,228,230
SSE.ETF.510050,SHORT,202309010942,2.608,202309010943,2.611,10000,-30,-50,,,230,231
SSE.ETF.510050,LONG,202309010943,2.611,202309010944,2.607,10000,-40,-90,,,231,232
SSE.ETF.510050,SHORT,202309010944,2.607,202309010945,2.607,10000,-0,-90,,,232,233
SSE.ETF.510050,LONG,202309010945,2.607,202309010946,2.603,10000,-40,-130,,,233,234
SSE.ETF.510050,SHORT,202309010946,2.603,202309010948,2.605,10000,-20,-150,,,234,236
SSE.ETF.510050,LONG,202309010948,2.605,202309010950,2.605,10000,0,-150,,,236,237
SSE.ETF.510050,LONG,202309010956,2.605,202309011002,2.611,10000,60,-90,,,243,245
SSE.ETF.510050,SHORT,202309040932,2.631,202309040935,2.631,10000,-0,-90,,,246,249
SSE.ETF.510050,LONG,202309040935,2.631,202309040936,2.63,10000,-10,-100,,,249,250
SSE.ETF.510050,SHORT,202309040936,2.63,202309040937,2.633,10000,-30,-130,,,250,251
SSE.ETF.510050,LONG,202309040937,2.633,202309040939,2.631,10000,-20,-150,,,251,253
SSE.ETF.510050,SHORT,202309040939,2.631,202309040941,2.629,10000,20,-130,,,253,255
SSE.ETF.510050,LONG,202309040941,2.629,202309040942,2.629,10000,0,-130,,,255,256
SSE.ETF.510050,SHORT,202309040942,2.629,202309040943,2.625,10000,40,-90,,,256,257
SSE.ETF.510050,LONG,202309040943,2.625,202309040944,2.625,10000,0,-90,,,257,258
SSE.ETF.510050,SHORT,202309040944,2.625,202309040946,2.63,10000,-50,-140,,,258,259
SSE.ETF.510050,LONG,202309040946,2.63,202309040948,2.628,20000,-40,-180,,,259,261
SSE.ETF.510050,LONG,202309040949,2.63,202309040951,2.627,20000,-60,-240,,,262,264
SSE.ETF.510050,LONG,202309040952,2.626,202309040953,2.627,10000,10,-230,,,265,266
SSE.ETF.510050,LONG,202309040954,2.627,202309040955,2.628,10000,10,-220,,,267,268
SSE.ETF.510050,LONG,202309040954,2.627,202309041006,2.646,10000,190,-30,,,267,279
SSE.ETF.510050,LONG,202309040958,2.627,202309041006,2.646,10000,190,160,,,271,279
SSE.ETF.510050,LONG,202309041007,2.649,202309041009,2.644,20000,-100,60,,,280,282
SSE.ETF.510050,LONG,202309041012,2.651,202309041014,2.649,20000,-40,20,,,285,287
SSE.ETF.510050,LONG,202309041015,2.648,202309041016,2.65,10000,20,40,,,288,289
SSE.ETF.510050,LONG,202309041015,2.648,202309041019,2.626,10000,-220,-180,,,288,292
SSE.ETF.510050,LONG,202309041017,2.652,202309041019,2.626,10000,-260,-440,,,290,292
SSE.ETF.510050,LONG,202309041020,2.648,202309041022,2.648,10000,0,-440,,,293,295
SSE.ETF.510050,LONG,202309041023,2.65,202309041024,2.649,20000,-20,-460,,,296,297
SSE.ETF.510050,LONG,202309041025,2.651,202309041027,2.653,10000,20,-440,,,298,300
SSE.ETF.510050,LONG,202309041025,2.651,202309041034,2.66,10000,90,-350,,,298,307
SSE.ETF.510050,LONG,202309041029,2.656,202309041034,2.66,10000,40,-310,,,302,307
SSE.ETF.510050,LONG,202309041035,2.661,202309041038,2.657,10000,-40,-350,,,308,311
SSE.ETF.510050,LONG,202309041037,2.661,202309041436,2.652,10000,-90,-440,,,310,459
SSE.ETF.510050,LONG,202309041435,2.652,202309041436,2.652,10000,0,-440,,,458,459
SSE.ETF.510050,LONG,202309041437,2.652,202309041438,2.653,20000,20,-420,,,460,461
SSE.ETF.510050,LONG,202309041439,2.652,202309041440,2.652,20000,0,-420,,,462,463
SSE.ETF.510050,LONG,202309041442,2.652,202309041443,2.653,20000,20,-400,,,465,466
SSE.ETF.510050,LONG,202309041444,2.652,202309041447,2.654,20000,40,-360,,,467,470
SSE.ETF.510050,LONG,202309041448,2.654,202309041450,2.655,20000,20,-340,,,471,473
SSE.ETF.510050,LONG,202309041451,2.654,202309041453,2.654,20000,0,-340,,,474,476
SSE.ETF.510050,LONG,202309041454,2.655,202309041457,2.655,20000,0,-340,,,477,480
SSE.ETF.510050,LONG,202309041459,2.657,202309050940,2.645,10000,-120,-460,,,482,485
SSE.ETF.510050,LONG,202309050943,2.646,202309050947,2.642,10000,-40,-500,,,486,490
SSE.ETF.510050,LONG,202309050951,2.638,202309050952,2.64,10000,20,-480,,,495,496
