code,time,direct,action,price,qty,tag,fee,barno
SSE.ETF.510050,202309010932,SHORT,OPEN,2.606,10000,,3.13,220
SSE.ETF.510050,202309010934,SHORT,CLOSE,2.608,10000,,3.13,222
SSE.ETF.510050,202309010934,LONG,OPEN,2.608,10000,,3.13,222
SSE.ETF.510050,202309010935,LONG,CLOSE,2.611,10000,,3.13,223
SSE.ETF.510050,202309010935,SHORT,OPEN,2.611,10000,,3.13,223
SSE.ETF.510050,202309010936,SHORT,CLOSE,2.61,10000,,3.13,224
SSE.ETF.510050,202309010936,LONG,OPEN,2.61,10000,,3.13,224
SSE.ETF.510050,202309010937,LONG,CLOSE,2.609,10000,,3.13,225
SSE.ETF.510050,202309010937,SHORT,OPEN,2.609,10000,,3.13,225
SSE.ETF.510050,202309010940,SHORT,CLOSE,2.61,10000,,3.13,228
SSE.ETF.510050,202309010940,LONG,OPEN,2.61,10000,,3.13,228
SSE.ETF.510050,202309010942,LONG,CLOSE,2.608,10000,,3.13,230
SSE.ETF.510050,202309010942,SHORT,OPEN,2.608,10000,,3.13,230
SSE.ETF.510050,202309010943,SHORT,CLOSE,2.611,10000,,3.13,231
SSE.ETF.510050,202309010943,LONG,OPEN,2.611,10000,,3.13,231
SSE.ETF.510050,202309010944,LONG,CLOSE,2.607,10000,,3.13,232
SSE.ETF.510050,202309010944,SHORT,OPEN,2.607,10000,,3.13,232
SSE.ETF.510050,202309010945,SHORT,CLOSE,2.607,10000,,3.13,233
SSE.ETF.510050,202309010945,LONG,OPEN,2.607,10000,,3.13,233
SSE.ETF.510050,202309010946,LONG,CLOSE,2.603,10000,,3.12,234
SSE.ETF.510050,202309010946,SHORT,OPEN,2.603,10000,,3.12,234
SSE.ETF.510050,202309010948,SHORT,CLOSE,2.605,10000,,3.13,236
SSE.ETF.510050,202309010948,LONG,OPEN,2.605,10000,,3.13,236
SSE.ETF.510050,202309010950,LONG,CLOSE,2.605,10000,,3.13,237
SSE.ETF.510050,202309010956,LONG,OPEN,2.605,10000,,3.13,243
SSE.ETF.510050,202309011002,LONG,CLOSE,2.611,10000,,3.13,245
SSE.ETF.510050,202309040932,SHORT,OPEN,2.631,10000,,3.16,246
SSE.ETF.510050,202309040935,SHORT,CLOSE,2.631,10000,,3.16,249
SSE.ETF.510050,202309040935,LONG,OPEN,2.631,10000,,3.16,249
SSE.ETF.510050,202309040936,LONG,CLOSE,2.63,10000,,3.16,250
SSE.ETF.510050,202309040936,SHORT,OPEN,2.63,10000,,3.16,250
SSE.ETF.510050,202309040937,SHORT,CLOSE,2.633,10000,,3.16,251
SSE.ETF.510050,202309040937,LONG,OPEN,2.633,10000,,3.16,251
SSE.ETF.510050,202309040939,LONG,CLOSE,2.631,10000,,3.16,253
SSE.ETF.510050,202309040939,SHORT,OPEN,2.631,10000,,3.16,253
SSE.ETF.510050,202309040941,SHORT,CLOSE,2.629,10000,,3.15,255
SSE.ETF.510050,202309040941,LONG,OPEN,2.629,10000,,3.15,255
SSE.ETF.510050,202309040942,LONG,CLOSE,2.629,10000,,3.15,256
SSE.ETF.510050,202309040942,SHORT,OPEN,2.629,10000,,3.15,256
SSE.ETF.510050,202309040943,SHORT,CLOSE,2.625,10000,,3.15,257
SSE.ETF.510050,202309040943,LONG,OPEN,2.625,10000,,3.15,257
SSE.ETF.510050,202309040944,LONG,CLOSE,2.625,10000,,3.15,258
SSE.ETF.510050,202309040944,SHORT,OPEN,2.625,10000,,3.15,258
SSE.ETF.510050,202309040946,SHORT,CLOSE,2.63,10000,,3.16,259
SSE.ETF.510050,202309040946,LONG,OPEN,2.63,20000,,6.31,259
SSE.ETF.510050,202309040948,LONG,CLOSE,2.628,20000,,6.31,261
SSE.ETF.510050,202309040949,LONG,OPEN,2.63,20000,,6.31,262
SSE.ETF.510050,202309040951,LONG,CLOSE,2.627,20000,,6.3,264
SSE.ETF.510050,202309040952,LONG,OPEN,2.626,10000,,3.15,265
SSE.ETF.510050,202309040953,LONG,CLOSE,2.627,10000,,3.15,266
SSE.ETF.510050,202309040954,LONG,OPEN,2.627,20000,,6.3,267
SSE.ETF.510050,202309040955,LONG,CLOSE,2.628,10000,,3.15,268
SSE.ETF.510050,202309040958,LONG,OPEN,2.627,10000,,3.15,271
SSE.ETF.510050,202309041006,LONG,CLOSE,2.646,10000,,3.18,279
SSE.ETF.510050,202309041006,LONG,CLOSE,2.646,10000,,3.18,279
SSE.ETF.510050,202309041007,LONG,OPEN,2.649,20000,,6.36,280
SSE.ETF.510050,202309041009,LONG,CLOSE,2.644,20000,,6.35,282
SSE.ETF.510050,202309041012,LONG,OPEN,2.651,20000,,6.36,285
SSE.ETF.510050,202309041014,LONG,CLOSE,2.649,20000,,6.36,287
SSE.ETF.510050,202309041015,LONG,OPEN,2.648,20000,,6.36,288
SSE.ETF.510050,202309041016,LONG,CLOSE,2.65,10000,,3.18,289
