[2023.07.19 16:10:27 - info ] Trading sessions loaded
[2023.07.19 16:10:27 - info ] Commodities configuration file ../common/commodities_stk.json loaded
[2023.07.19 16:10:27 - info ] Contracts configuration file ../common/contracts_new.json loaded, 2 exchanges
[2023.07.19 16:10:27 - info ] Holidays loaded
[2023.07.19 16:10:27 - info ] Data storage module D:/Miniconda/envs/python_3.10/lib/site-packages/wtpy/wrapper/x64/WtDataStorage.dll loaded
[2023.07.19 16:10:27 - info ] WtDataWriter initialized, root dir: ../STK_Data/, save_csv_tick: false, async_mode: false, log_group_size: 20, disable_history: false, disable_tick: false, disable_min1: false, disable_min5: false, disable_day: false, disable_trans: false, disable_ordque: false, disable_orders: false
[2023.07.19 16:10:27 - info ] Reading parser config from mdparsers.yaml...
[2023.07.19 16:10:27 - error] [parser] Parser module D:/Miniconda/envs/python_3.10/lib/site-packages/wtpy/wrapper/x64/parsers/ParserInsight.dll loading failed
[2023.07.19 16:10:27 - info ] 1 market data parsers loaded in total
[2023.07.19 16:10:27 - info ] Callbacks of Extented Parser registration done
[2023.07.19 16:10:27 - info ] WonderTrader datakit initialzied£¬version: X64 v0.9.7 Build@Apr  4 2023 10:13:17
[2023.07.19 16:10:27 - info ] 1 parsers started
[2023.07.19 16:10:27 - info ] Trading session ¹ÉÆ±°×ÅÌ0930[SD0930] stopped receiving data
[2023.07.19 16:10:28 - info ] Trading session ¹ÉÆ±°×ÅÌ0930[SD0930] started processing closing task
[2023.07.19 16:10:28 - info ] ClosingTask of 603557[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603871[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600755[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603098[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603716[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603989[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 605189[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688321[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600998[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603609[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601857[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603896[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603089[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600078[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601229[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600782[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600028[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603108[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603883[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601929[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601966[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601330[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688388[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600808[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600388[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600886[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688599[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603713[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603363[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600420[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601633[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603320[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600461[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603602[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600075[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603331[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600233[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601615[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600863[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688328[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601799[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603738[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600105[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688779[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688680[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600566[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603757[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603707[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 601636[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600674[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688268[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603690[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603058[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603960[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 603992[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 600061[SSE] done, 0 datas processed totally
[2023.07.19 16:10:28 - info ] ClosingTask of 688676[SSE] done, 0 datas processed totally
