code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SSE.ETF.510300,LONG,201901021050,2968.8,201901021305,2966.4,1,-2.4,6.2,-6.8,-2.4,enterlong,exitlong,15,24
SSE.ETF.510300,LONG,201901021345,2960.4,201901021405,2953.6,1,-6.8,3.6,-9.8,-9.2,enterlong,exitlong,32,36
SSE.ETF.510300,LONG,201901021415,2966.4,201901021420,2966,1,-0.4,3.4,-3.6,-9.6,enterlong,exitlong,38,39
SSE.ETF.510300,LONG,201901021430,2963.6,201901021440,2968.4,1,4.8,10.2,-1,-4.8,enterlong,exitlong,41,43
SSE.ETF.510300,LONG,201901030940,2966.6,201901030945,2961,1,-5.6,0.8,-6.6,-10.4,enterlong,exitlong,49,50
SSE.ETF.510300,LONG,201901030955,2978.6,201901031015,2996.8,1,18.2,27.2,-1.2,7.8,enterlong,exitlong,52,56
SSE.ETF.510300,LONG,201901031130,2966.8,201901031340,2962.2,1,-4.6,3.6,-10.8,3.2,enterlong,exitlong,71,79
SSE.ETF.510300,LONG,201901031350,2960.2,201901031410,2963.2,1,3,12.8,-1,6.2,enterlong,exitlong,81,85
SSE.ETF.510300,LONG,201901031435,2958,201901031445,2957.4,1,-0.6,3.6,-4.8,5.6,enterlong,exitlong,90,92
SSE.ETF.510300,LONG,201901031450,2957.8,201901040940,2947.4,1,-10.4,4.8,-15.6,-4.8,enterlong,exitlong,93,97
SSE.ETF.510300,LONG,201901040945,2964.4,201901040950,2961.6,1,-2.8,5.2,-4,-7.6,enterlong,exitlong,98,99
SSE.ETF.510300,LONG,201901040955,2969.2,201901041005,2970.8,1,1.6,12.4,-1,-6,enterlong,exitlong,100,102
SSE.ETF.510300,LONG,201901041020,2964.2,201901041055,2991,1,26.8,37.6,-1.2,20.8,enterlong,exitlong,105,112
SSE.ETF.510300,LONG,201901041105,3004.6,201901041110,3004.6,1,0,4,-6.6,20.8,enterlong,exitlong,114,115
SSE.ETF.510300,LONG,201901041115,3009.2,201901041120,3014,1,4.8,4.8,-7,25.6,enterlong,exitlong,116,117
SSE.ETF.510300,LONG,201901041130,3018.8,201901041415,3011.2,1,-7.6,15.4,-8.2,18,enterlong,exitlong,119,134
SSE.ETF.510300,LONG,201901041425,3023,201901070940,3058.6,1,35.6,35.8,-2,53.6,enterlong,exitlong,136,145
SSE.ETF.510300,LONG,201901070955,3039.6,201901071000,3035.2,1,-4.4,2.8,-5.4,49.2,enterlong,exitlong,148,149
SSE.ETF.510300,LONG,201901071005,3049.6,201901071010,3046.6,1,-3,1.8,-4.8,46.2,enterlong,exitlong,150,151
SSE.ETF.510300,LONG,201901071025,3045.6,201901071030,3037,1,-8.6,0,-9,37.6,enterlong,exitlong,154,155
SSE.ETF.510300,LONG,201901071035,3040.8,201901071050,3054,1,13.2,20.8,-2.6,50.8,enterlong,exitlong,156,159
