date,closeprofit,positionprofit,dynbalance,fee
20190102,-4.80,0.00,-4.80,0.00
20190103,5.60,4.80,10.40,0.00
20190104,18.00,18.40,36.40,0.00
20190107,47.60,0.00,47.60,0.00
20190108,23.20,0.00,23.20,0.00
20190109,47.40,0.00,47.40,0.00
20190110,44.40,-0.60,43.80,0.00
20190111,53.80,5.40,59.20,0.00
20190114,41.00,1.80,42.80,0.00
20190115,75.80,0.00,75.80,0.00
20190116,67.60,0.00,67.60,0.00
20190117,81.80,0.00,81.80,0.00
20190118,117.00,0.00,117.00,0.00
20190121,116.40,-1.60,114.80,0.00
20190122,82.00,0.20,82.20,0.00
20190123,91.00,0.00,91.00,0.00
20190124,85.20,0.00,85.20,0.00
20190125,73.00,0.00,73.00,0.00
20190128,57.80,-3.80,54.00,0.00
20190129,55.80,0.00,55.80,0.00
20190130,51.40,0.00,51.40,0.00
20190131,53.60,14.40,68.00,0.00
20190201,123.60,7.60,131.20,0.00
20190211,156.60,0.00,156.60,0.00
20190212,159.40,-4.00,155.40,0.00
20190213,187.40,4.40,191.80,0.00
20190214,172.20,-0.40,171.80,0.00
20190215,133.80,-1.00,132.80,0.00
20190218,202.80,0.00,202.80,0.00
20190219,182.00,0.00,182.00,0.00
20190220,180.20,0.60,180.80,0.00
20190221,189.00,9.40,198.40,0.00
20190222,235.40,60.80,296.20,0.00
20190225,407.60,31.00,438.60,0.00
20190226,305.20,-0.20,305.00,0.00
20190227,250.60,16.60,267.20,0.00
20190228,208.60,-3.80,204.80,0.00
20190301,252.60,-10.00,242.60,0.00
20190304,274.80,3.00,277.80,0.00
20190305,285.60,0.00,285.60,0.00
20190306,296.20,10.40,306.60,0.00
20190307,302.40,0.00,302.40,0.00
20190308,251.20,0.00,251.20,0.00
20190311,270.60,0.00,270.60,0.00
20190312,265.20,7.40,272.60,0.00
20190313,259.20,-5.00,254.20,0.00
20190314,237.60,6.20,243.80,0.00
20190315,297.00,0.00,297.00,0.00
20190318,326.40,2.60,329.00,0.00
20190319,296.60,-2.40,294.20,0.00
20190320,294.00,0.00,294.00,0.00
20190321,267.80,1.60,269.40,0.00
20190322,323.00,17.60,340.60,0.00
20190325,247.00,4.80,251.80,0.00
20190326,220.80,5.20,226.00,0.00
20190327,227.60,1.40,229.00,0.00
20190328,191.40,0.40,191.80,0.00
20190329,301.40,0.00,301.40,0.00
20190401,310.00,0.00,310.00,0.00
20190402,282.40,1.20,283.60,0.00
