date,code,volume,closeprofit,dynprofit
20190103,SSE.ETF.510300,1,5.60,4.80
20190104,SSE.ETF.510300,1,18.00,18.40
20190110,SSE.ETF.510300,1,44.40,-0.60
20190111,SSE.ETF.510300,1,53.80,5.40
20190114,SSE.ETF.510300,1,41.00,1.80
20190116,SSE.ETF.510300,1,67.60,0.00
20190121,SSE.ETF.510300,1,116.40,-1.60
20190122,SSE.ETF.510300,1,82.00,0.20
20190128,SSE.ETF.510300,1,57.80,-3.80
20190131,SSE.ETF.510300,1,53.60,14.40
20190201,SSE.ETF.510300,1,123.60,7.60
20190212,SSE.ETF.510300,1,159.40,-4.00
20190213,SSE.ETF.510300,1,187.40,4.40
20190214,SSE.ETF.510300,1,172.20,-0.40
20190215,SSE.ETF.510300,1,133.80,-1.00
20190218,SSE.ETF.510300,1,202.80,0.00
20190220,SSE.ETF.510300,1,180.20,0.60
20190221,SSE.ETF.510300,1,189.00,9.40
20190222,SSE.ETF.510300,1,235.40,60.80
20190225,SSE.ETF.510300,1,407.60,31.00
20190226,SSE.ETF.510300,1,305.20,-0.20
20190227,SSE.ETF.510300,1,250.60,16.60
20190228,SSE.ETF.510300,1,208.60,-3.80
20190301,SSE.ETF.510300,1,252.60,-10.00
20190304,SSE.ETF.510300,1,274.80,3.00
20190306,SSE.ETF.510300,1,296.20,10.40
20190312,SSE.ETF.510300,1,265.20,7.40
20190313,SSE.ETF.510300,1,259.20,-5.00
20190314,SSE.ETF.510300,1,237.60,6.20
20190318,SSE.ETF.510300,1,326.40,2.60
20190319,SSE.ETF.510300,1,296.60,-2.40
20190321,SSE.ETF.510300,1,267.80,1.60
20190322,SSE.ETF.510300,1,323.00,17.60
20190325,SSE.ETF.510300,1,247.00,4.80
20190326,SSE.ETF.510300,1,220.80,5.20
20190327,SSE.ETF.510300,1,227.60,1.40
20190328,SSE.ETF.510300,1,191.40,0.40
20190402,SSE.ETF.510300,1,282.40,1.20
20190404,SSE.ETF.510300,1,310.80,13.60
20190408,SSE.ETF.510300,1,336.40,-12.20
20190409,SSE.ETF.510300,1,324.60,21.60
20190410,SSE.ETF.510300,1,379.60,2.20
20190416,SSE.ETF.510300,1,405.00,12.40
20190418,SSE.ETF.510300,1,370.40,-0.20
20190419,SSE.ETF.510300,1,433.00,16.20
20190422,SSE.ETF.510300,1,318.00,11.40
20190423,SSE.ETF.510300,1,319.00,-0.60
20190424,SSE.ETF.510300,1,342.40,-0.40
20190425,SSE.ETF.510300,1,262.60,-4.40
