code,target,sigprice,gentime,usertag
SSE.ETF.510300,1,2968.8,20190102104500000,enterlong
SSE.ETF.510300,0,2968,20190102113000000,exitlong
SSE.ETF.510300,1,2960.4,20190102134000000,enterlong
SSE.ETF.510300,0,2952.6,20190102140000000,exitlong
SSE.ETF.510300,1,2966.6,20190102141000000,enterlong
SSE.ETF.510300,0,2966.2,20190102141500000,exitlong
SSE.ETF.510300,1,2963.4,20190102142500000,enterlong
SSE.ETF.510300,0,2967.8,20190102143500000,exitlong
SSE.ETF.510300,1,2966.4,20190103093500000,enterlong
SSE.ETF.510300,0,2960.6,20190103094000000,exitlong
SSE.ETF.510300,1,2979,20190103095000000,enterlong
SSE.ETF.510300,0,2996.2,20190103101000000,exitlong
SSE.ETF.510300,1,2966,20190103112500000,enterlong
SSE.ETF.510300,0,2962,20190103133500000,exitlong
SSE.ETF.510300,1,2960.8,20190103134500000,enterlong
SSE.ETF.510300,0,2962.8,20190103140500000,exitlong
SSE.ETF.510300,1,2958.8,20190103143000000,enterlong
SSE.ETF.510300,0,2957,20190103144000000,exitlong
SSE.ETF.510300,1,2957.6,20190103144500000,enterlong
SSE.ETF.510300,0,2948,20190104093500000,exitlong
SSE.ETF.510300,1,2965,20190104094000000,enterlong
SSE.ETF.510300,0,2961.6,20190104094500000,exitlong
SSE.ETF.510300,1,2969,20190104095000000,enterlong
SSE.ETF.510300,0,2970.8,20190104100000000,exitlong
SSE.ETF.510300,1,2965,20190104101500000,enterlong
SSE.ETF.510300,0,2990.6,20190104105000000,exitlong
SSE.ETF.510300,1,3004.6,20190104110000000,enterlong
SSE.ETF.510300,0,3004.2,20190104110500000,exitlong
SSE.ETF.510300,1,3009.2,20190104111000000,enterlong
SSE.ETF.510300,0,3013.6,20190104111500000,exitlong
SSE.ETF.510300,1,3018.8,20190104112500000,enterlong
SSE.ETF.510300,0,3011,20190104141000000,exitlong
SSE.ETF.510300,1,3022.8,20190104142000000,enterlong
SSE.ETF.510300,0,3058.4,20190107093500000,exitlong
SSE.ETF.510300,1,3039.4,20190107095000000,enterlong
SSE.ETF.510300,0,3035.4,20190107095500000,exitlong
SSE.ETF.510300,1,3049,20190107100000000,enterlong
SSE.ETF.510300,0,3046.8,20190107100500000,exitlong
SSE.ETF.510300,1,3045.6,20190107102000000,enterlong
SSE.ETF.510300,0,3037.4,20190107102500000,exitlong
SSE.ETF.510300,1,3040.2,20190107103000000,enterlong
SSE.ETF.510300,0,3054,20190107104500000,exitlong
SSE.ETF.510300,1,3052.6,20190107105000000,enterlong
SSE.ETF.510300,0,3046.8,20190107110500000,exitlong
SSE.ETF.510300,1,3046.2,20190107112500000,enterlong
SSE.ETF.510300,0,3045.2,20190107113000000,exitlong
SSE.ETF.510300,1,3049,20190107131000000,enterlong
SSE.ETF.510300,0,3044.4,20190107133000000,exitlong
SSE.ETF.510300,1,3046.2,20190107135000000,enterlong
SSE.ETF.510300,0,3051,20190107140000000,exitlong
SSE.ETF.510300,1,3053.8,20190107142000000,enterlong
SSE.ETF.510300,0,3057.4,20190107143500000,exitlong
SSE.ETF.510300,1,3054.2,20190107144500000,enterlong
SSE.ETF.510300,0,3051.8,20190107145000000,exitlong
