code,time,direct,action,price,qty,tag,fee,barno
SSE.ETF.510300,201901021050,LONG,OPEN,2968.8,1,enterlong,0,15
SSE.ETF.510300,201901021305,LONG,CLOSE,2966.4,1,exitlong,0,24
SSE.ETF.510300,201901021345,LONG,OPEN,2960.4,1,enterlong,0,32
SSE.ETF.510300,201901021405,LONG,CLOSE,2953.6,1,exitlong,0,36
SSE.ETF.510300,201901021415,LONG,OPEN,2966.4,1,enterlong,0,38
SSE.ETF.510300,201901021420,LONG,CLOSE,2966,1,exitlong,0,39
SSE.ETF.510300,201901021430,LONG,OPEN,2963.6,1,enterlong,0,41
SSE.ETF.510300,201901021440,LONG,CLOSE,2968.4,1,exitlong,0,43
SSE.ETF.510300,201901030940,LONG,OPEN,2966.6,1,enterlong,0,49
SSE.ETF.510300,201901030945,LONG,CLOSE,2961,1,exitlong,0,50
SSE.ETF.510300,201901030955,LONG,OPEN,2978.6,1,enterlong,0,52
SSE.ETF.510300,201901031015,LONG,CLOSE,2996.8,1,exitlong,0,56
SSE.ETF.510300,201901031130,LONG,OPEN,2966.8,1,enterlong,0,71
SSE.ETF.510300,201901031340,LONG,CLOSE,2962.2,1,exitlong,0,79
SSE.ETF.510300,201901031350,LONG,OPEN,2960.2,1,enterlong,0,81
SSE.ETF.510300,201901031410,LONG,CLOSE,2963.2,1,exitlong,0,85
SSE.ETF.510300,201901031435,LONG,OPEN,2958,1,enterlong,0,90
SSE.ETF.510300,201901031445,LONG,CLOSE,2957.4,1,exitlong,0,92
SSE.ETF.510300,201901031450,LONG,OPEN,2957.8,1,enterlong,0,93
SSE.ETF.510300,201901040940,LONG,CLOSE,2947.4,1,exitlong,0,97
SSE.ETF.510300,201901040945,LONG,OPEN,2964.4,1,enterlong,0,98
SSE.ETF.510300,201901040950,LONG,CLOSE,2961.6,1,exitlong,0,99
SSE.ETF.510300,201901040955,LONG,OPEN,2969.2,1,enterlong,0,100
SSE.ETF.510300,201901041005,LONG,CLOSE,2970.8,1,exitlong,0,102
SSE.ETF.510300,201901041020,LONG,OPEN,2964.2,1,enterlong,0,105
SSE.ETF.510300,201901041055,LONG,CLOSE,2991,1,exitlong,0,112
SSE.ETF.510300,201901041105,LONG,OPEN,3004.6,1,enterlong,0,114
SSE.ETF.510300,201901041110,LONG,CLOSE,3004.6,1,exitlong,0,115
SSE.ETF.510300,201901041115,LONG,OPEN,3009.2,1,enterlong,0,116
SSE.ETF.510300,201901041120,LONG,CLOSE,3014,1,exitlong,0,117
SSE.ETF.510300,201901041130,LONG,OPEN,3018.8,1,enterlong,0,119
SSE.ETF.510300,201901041415,LONG,CLOSE,3011.2,1,exitlong,0,134
SSE.ETF.510300,201901041425,LONG,OPEN,3023,1,enterlong,0,136
SSE.ETF.510300,201901070940,LONG,CLOSE,3058.6,1,exitlong,0,145
SSE.ETF.510300,201901070955,LONG,OPEN,3039.6,1,enterlong,0,148
SSE.ETF.510300,201901071000,LONG,CLOSE,3035.2,1,exitlong,0,149
SSE.ETF.510300,201901071005,LONG,OPEN,3049.6,1,enterlong,0,150
SSE.ETF.510300,201901071010,LONG,CLOSE,3046.6,1,exitlong,0,151
