code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
CFFEX.IF.HOT,SHORT,201909100940,3959.6,201909101020,3949.8,1,2940,5400,-540,2503.88,entershort,exitshort,1,9
CFFEX.IF.HOT,SHORT,201909101040,3941.6,201909101045,3947,1,-1620,0,-1860,448.17,entershort,exitshort,13,14
CFFEX.IF.HOT,SHORT,201909101105,3942.4,201909101110,3944.6,1,-660,1020,-1380,-647.3,entershort,exitshort,18,19
CFFEX.IF.HOT,SHORT,201909101120,3941.6,201909101130,3947,1,-1620,1020,-1980,-2703.01,entershort,exitshort,21,23
CFFEX.IF.HOT,LONG,201909101340,3950,201909101350,3953.2,1,960,1080,-240,-2179.43,enterlong,exitlong,31,33
CFFEX.IF.HOT,LONG,201909101355,3955.4,201909101400,3954.4,1,-300,720,-540,-2916,enterlong,exitlong,34,35
CFFEX.IF.HOT,LONG,201909101410,3959.2,201909101420,3955.2,1,-1200,600,-1440,-4552.68,enterlong,exitlong,37,39
CFFEX.IF.HOT,SHORT,201909101425,3952,201909101430,3954.2,1,-660,60,-1140,-5649.21,entershort,exitshort,40,41
CFFEX.IF.HOT,LONG,201909101435,3956.2,201909101445,3963.4,1,2160,2340,0,-3926.72,enterlong,exitlong,42,44
CFFEX.IF.HOT,SHORT,201909101450,3961.2,201909110935,3969,1,-2340,1500,0,-6321.44,entershort,exitshort,45,48
CFFEX.IF.HOT,LONG,201909110940,3970.8,201909110945,3964,1,-2040,420,-2580,-8799.11,enterlong,exitlong,49,50
CFFEX.IF.HOT,SHORT,201909110950,3948,201909110955,3948,1,-0,660,-960,-9234.97,entershort,exitshort,51,52
CFFEX.IF.HOT,SHORT,201909111000,3946.2,201909111010,3942.8,1,1020,2760,-240,-8650.28,entershort,exitshort,53,55
CFFEX.IF.HOT,LONG,201909111015,3946.2,201909111025,3944,1,-660,1320,-900,-9745.71,enterlong,exitlong,56,58
CFFEX.IF.HOT,LONG,201909111040,3944.4,201909111045,3939,1,-1620,0,-1620,-11800.6,enterlong,exitlong,61,62
CFFEX.IF.HOT,SHORT,201909111050,3932.8,201909111105,3930,1,840,1740,-1020,-11394.5,entershort,exitshort,63,66
CFFEX.IF.HOT,LONG,201909111110,3929.6,201909111310,3948.2,1,5580,7620,-300,-6250.27,enterlong,exitlong,67,73
CFFEX.IF.HOT,SHORT,201909111315,3943.2,201909111330,3945.2,1,-600,180,-1740,-7285.81,entershort,exitshort,74,77
CFFEX.IF.HOT,LONG,201909111335,3948.4,201909111340,3936.6,1,-3540,180,-3600,-11260.5,enterlong,exitlong,78,79
CFFEX.IF.HOT,SHORT,201909111345,3932,201909111350,3935.2,1,-960,660,-1140,-12654.9,entershort,exitshort,80,81
CFFEX.IF.HOT,SHORT,201909111355,3934,201909111400,3935,1,-300,420,-900,-13389.3,entershort,exitshort,82,83
CFFEX.IF.HOT,LONG,201909111405,3936.4,201909111415,3939.6,1,960,2280,-240,-12864.2,enterlong,exitlong,84,86
CFFEX.IF.HOT,SHORT,201909111420,3935.4,201909111430,3934.8,1,180,1320,-720,-13118.6,entershort,exitshort,87,89
CFFEX.IF.HOT,LONG,201909111435,3941.6,201909111440,3939.6,1,-600,180,-1140,-14153.6,enterlong,exitlong,90,91
CFFEX.IF.HOT,SHORT,201909111445,3933.6,201909111455,3936,1,-720,1380,-1260,-15308.1,entershort,exitshort,92,94
CFFEX.IF.HOT,SHORT,201909120935,3953.4,201909120940,3956,1,-780,1320,-2040,-16524.8,entershort,exitshort,96,97
CFFEX.IF.HOT,LONG,201909120945,3950.4,201909120950,3948.8,1,-480,660,-1920,-17440.8,enterlong,exitlong,98,99
CFFEX.IF.HOT,SHORT,201909121005,3948.2,201909121020,3950,1,-540,1500,-1440,-18416.9,entershort,exitshort,102,105
CFFEX.IF.HOT,SHORT,201909121035,3944,201909121105,3952.4,1,-2520,540,-2820,-21373.1,entershort,exitshort,108,114
CFFEX.IF.HOT,SHORT,201909121110,3951.4,201909121115,3954.4,1,-900,180,-1140,-22709.7,entershort,exitshort,115,116
CFFEX.IF.HOT,LONG,201909121120,3958.8,201909121125,3955.4,1,-1020,240,-1320,-24166.4,enterlong,exitlong,117,118
