date,closeprofit,positionprofit,dynbalance,fee
20190910,0.00,180.00,-3774.05,3954.05
20190911,-4800.00,0.00,-15308.10,10508.10
20190912,-11280.00,1380.00,-25681.61,15781.61
20190916,-6540.00,1440.00,-25308.11,20208.11
20190917,-8940.00,-2880.00,-35541.95,23721.95
20190918,-12480.00,-480.00,-40619.69,27659.69
20190919,-9840.00,2040.00,-40258.02,32458.02
20190920,-12360.00,0.00,-51374.87,39014.87
20190923,4860.00,0.00,-36751.05,41611.05
20190924,13740.00,0.00,-31750.40,45490.40
20190925,7440.00,5400.00,-36967.06,49807.06
20190926,10260.00,0.00,-45127.87,55387.87
20190927,8880.00,0.00,-53314.31,62194.31
20190930,5460.00,0.00,-63095.16,68555.16
20191008,3000.00,1980.00,-65718.57,70698.57
20191009,19680.00,0.00,-53580.52,73260.52
20191010,23880.00,0.00,-55322.23,79202.23
20191011,32520.00,-1440.00,-52442.07,83522.07
20191014,13560.00,0.00,-72607.21,86167.21
20191015,10140.00,1200.00,-81809.47,93149.47
20191016,16920.00,1260.00,-78504.11,96684.11
20191017,10380.00,0.00,-92397.65,102777.65
20191018,30900.00,0.00,-74038.95,104938.95
20191021,27600.00,840.00,-81216.23,109656.23
20191022,23820.00,0.00,-91837.47,115657.47
20191023,14700.00,1200.00,-104478.32,120378.32
20191024,10680.00,1860.00,-112583.16,125123.16
20191025,-1860.00,2220.00,-129512.84,129872.84
20191028,-3360.00,0.00,-138013.91,134653.91
20191029,-1080.00,1020.00,-141657.68,141597.68
20191030,-1740.00,-780.00,-148883.61,146363.61
20191031,4980.00,0.00,-146980.04,151960.04
