date,code,volume,closeprofit,dynprofit
20190910,CFFEX.IF.HOT,-1,0.00,180.00
20190912,CFFEX.IF.HOT,-1,-11280.00,1380.00
20190916,CFFEX.IF.HOT,1,-6540.00,1440.00
20190917,CFFEX.IF.HOT,1,-8940.00,-2880.00
20190918,CFFEX.IF.HOT,1,-12480.00,-480.00
20190919,CFFEX.IF.HOT,1,-9840.00,2040.00
20190920,CFFEX.IF.HOT,-1,-12360.00,0.00
20190925,CFFEX.IF.HOT,-1,7440.00,5400.00
20191008,CFFEX.IF.HOT,-1,3000.00,1980.00
20191011,CFFEX.IF.HOT,-1,32520.00,-1440.00
20191015,CFFEX.IF.HOT,-1,10140.00,1200.00
20191016,CFFEX.IF.HOT,-1,16920.00,1260.00
20191021,CFFEX.IF.HOT,1,27600.00,840.00
20191023,CFFEX.IF.HOT,1,14700.00,1200.00
20191024,CFFEX.IF.HOT,1,10680.00,1860.00
20191025,CFFEX.IF.HOT,1,-1860.00,2220.00
20191029,CFFEX.IF.HOT,-1,-1080.00,1020.00
20191030,CFFEX.IF.HOT,1,-1740.00,-780.00
