code,target,sigprice,gentime,usertag
CFFEX.IF.HOT,-1,3959.4,20190910093500000,entershort
CFFEX.IF.HOT,0,3950,20190910101500000,exitshort
CFFEX.IF.HOT,-1,3942.2,20190910103500000,entershort
CFFEX.IF.HOT,0,3947,20190910104000000,exitshort
CFFEX.IF.HOT,-1,3942.8,20190910110000000,entershort
CFFEX.IF.HOT,0,3944.4,20190910110500000,exitshort
CFFEX.IF.HOT,-1,3941.6,20190910111500000,entershort
CFFEX.IF.HOT,0,3946.4,20190910112500000,exitshort
CFFEX.IF.HOT,1,3950,20190910133500000,enterlong
CFFEX.IF.HOT,0,3953.2,20190910134500000,exitlong
CFFEX.IF.HOT,1,3955,20190910135000000,enterlong
CFFEX.IF.HOT,0,3954.4,20190910135500000,exitlong
CFFEX.IF.HOT,1,3959.6,20190910140500000,enterlong
CFFEX.IF.HOT,0,3955.2,20190910141500000,exitlong
CFFEX.IF.HOT,-1,3952,20190910142000000,entershort
CFFEX.IF.HOT,0,3954,20190910142500000,exitshort
CFFEX.IF.HOT,1,3956.6,20190910143000000,enterlong
CFFEX.IF.HOT,0,3962.4,20190910144000000,exitlong
CFFEX.IF.HOT,-1,3961,20190910144500000,entershort
CFFEX.IF.HOT,0,3960.6,20190910150000000,exitshort
CFFEX.IF.HOT,1,3970,20190911093500000,enterlong
CFFEX.IF.HOT,0,3964,20190911094000000,exitlong
CFFEX.IF.HOT,-1,3947.6,20190911094500000,entershort
CFFEX.IF.HOT,0,3948,20190911095000000,exitshort
CFFEX.IF.HOT,-1,3946.2,20190911095500000,entershort
CFFEX.IF.HOT,0,3943.2,20190911100500000,exitshort
CFFEX.IF.HOT,1,3946.2,20190911101000000,enterlong
CFFEX.IF.HOT,0,3944,20190911102000000,exitlong
CFFEX.IF.HOT,1,3944.2,20190911103500000,enterlong
CFFEX.IF.HOT,0,3939.2,20190911104000000,exitlong
CFFEX.IF.HOT,-1,3932.8,20190911104500000,entershort
CFFEX.IF.HOT,0,3930,20190911110000000,exitshort
CFFEX.IF.HOT,1,3929,20190911110500000,enterlong
CFFEX.IF.HOT,0,3947.8,20190911130500000,exitlong
CFFEX.IF.HOT,-1,3942.6,20190911131000000,entershort
CFFEX.IF.HOT,0,3945.2,20190911132500000,exitshort
CFFEX.IF.HOT,1,3948.8,20190911133000000,enterlong
CFFEX.IF.HOT,0,3936.4,20190911133500000,exitlong
CFFEX.IF.HOT,-1,3932,20190911134000000,entershort
CFFEX.IF.HOT,0,3935,20190911134500000,exitshort
CFFEX.IF.HOT,-1,3934,20190911135000000,entershort
CFFEX.IF.HOT,0,3935,20190911135500000,exitshort
CFFEX.IF.HOT,1,3936.2,20190911140000000,enterlong
CFFEX.IF.HOT,0,3939.6,20190911141000000,exitlong
CFFEX.IF.HOT,-1,3936,20190911141500000,entershort
CFFEX.IF.HOT,0,3935,20190911142500000,exitshort
CFFEX.IF.HOT,1,3942,20190911143000000,enterlong
CFFEX.IF.HOT,0,3939.6,20190911143500000,exitlong
CFFEX.IF.HOT,-1,3932.8,20190911144000000,entershort
CFFEX.IF.HOT,0,3936.2,20190911145000000,exitshort
CFFEX.IF.HOT,-1,3933.8,20190911150000000,entershort
CFFEX.IF.HOT,0,3956,20190912093500000,exitshort
CFFEX.IF.HOT,1,3950.4,20190912094000000,enterlong
CFFEX.IF.HOT,0,3948.8,20190912094500000,exitlong
