code,time,direct,action,price,qty,tag,fee,barno
CFFEX.IF.HOT,201909100940,SHORT,OPEN,3959.6,1,entershort,27.32,1
CFFEX.IF.HOT,201909101020,SHORT,CLOSE,3949.8,1,exitshort,408.8,9
CFFEX.IF.HOT,201909101040,SHORT,OPEN,3941.6,1,entershort,27.2,13
CFFEX.IF.HOT,201909101045,SHORT,CLOSE,3947,1,exitshort,408.51,14
CFFEX.IF.HOT,201909101105,SHORT,OPEN,3942.4,1,entershort,27.2,18
CFFEX.IF.HOT,201909101110,SHORT,CLOSE,3944.6,1,exitshort,408.27,19
CFFEX.IF.HOT,201909101120,SHORT,OPEN,3941.6,1,entershort,27.2,21
CFFEX.IF.HOT,201909101130,SHORT,CLOSE,3947,1,exitshort,408.51,23
CFFEX.IF.HOT,201909101340,LONG,OPEN,3950,1,enterlong,27.26,31
CFFEX.IF.HOT,201909101350,LONG,CLOSE,3953.2,1,exitlong,409.16,33
CFFEX.IF.HOT,201909101355,LONG,OPEN,3955.4,1,enterlong,27.29,34
CFFEX.IF.HOT,201909101400,LONG,CLOSE,3954.4,1,exitlong,409.28,35
CFFEX.IF.HOT,201909101410,LONG,OPEN,3959.2,1,enterlong,27.32,37
CFFEX.IF.HOT,201909101420,LONG,CLOSE,3955.2,1,exitlong,409.36,39
CFFEX.IF.HOT,201909101425,SHORT,OPEN,3952,1,entershort,27.27,40
CFFEX.IF.HOT,201909101430,SHORT,CLOSE,3954.2,1,exitshort,409.26,41
CFFEX.IF.HOT,201909101435,LONG,OPEN,3956.2,1,enterlong,27.3,42
CFFEX.IF.HOT,201909101445,LONG,CLOSE,3963.4,1,exitlong,410.21,44
CFFEX.IF.HOT,201909101450,SHORT,OPEN,3961.2,1,entershort,27.33,45
CFFEX.IF.HOT,201909110935,SHORT,CLOSE,3969,1,exitshort,27.39,48
CFFEX.IF.HOT,201909110940,LONG,OPEN,3970.8,1,enterlong,27.4,49
CFFEX.IF.HOT,201909110945,LONG,CLOSE,3964,1,exitlong,410.27,50
CFFEX.IF.HOT,201909110950,SHORT,OPEN,3948,1,entershort,27.24,51
CFFEX.IF.HOT,201909110955,SHORT,CLOSE,3948,1,exitshort,408.62,52
CFFEX.IF.HOT,201909111000,SHORT,OPEN,3946.2,1,entershort,27.23,53
CFFEX.IF.HOT,201909111010,SHORT,CLOSE,3942.8,1,exitshort,408.08,55
CFFEX.IF.HOT,201909111015,LONG,OPEN,3946.2,1,enterlong,27.23,56
CFFEX.IF.HOT,201909111025,LONG,CLOSE,3944,1,exitlong,408.2,58
CFFEX.IF.HOT,201909111040,LONG,OPEN,3944.4,1,enterlong,27.22,61
