[2023.09.07 14:09:08 - error] [parser] Parser module ParserInsight.dll loading failed
[2023.09.07 14:10:12 - info ] [parser] Parser module ParserInsight.dll loaded
[2023.09.07 14:10:15 - info ] [ParserInsight] MDCTest2859 login success
[2023.09.07 14:10:15 - info ] [ParserInsight] Connecting to [112.4.154.165] successed: 0, begin to subscibe data ...
[2023.09.07 14:10:15 - info ] [DoSubscribeMD] Subscribe 695 stocks from SSE
[2023.09.07 14:10:15 - info ] [DoSubscribeMD] Subscribe 816 stocks from SZSE
[2023.09.07 14:10:15 - info ] [ParserInsight] Market data of 695 instruments of SSE and 816 instruments of SZSE subscribed
[2023.09.07 14:10:15 - debug] code: 601686.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603023.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 603098.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 113530.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113662.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 110048.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113504.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113602.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 113643.SH, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123054.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123048.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123085.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123046.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123011.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123131.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123065.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123022.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123038.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123118.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123050.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123124.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123091.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123092.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123004.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123035.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 600535.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 123076.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123031.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123133.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123025.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 601336.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 123141.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123052.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 603916.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 123080.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123087.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123112.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123067.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123107.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123147.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123138.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123059.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 601311.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 123018.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123100.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123039.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123078.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 600496.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 600269.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 123121.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123093.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123090.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123013.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123130.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123142.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123099.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123153.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123152.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123173.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 603866.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 123034.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123156.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123071.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123115.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123129.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 600798.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 123158.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123127.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 603363.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 123145.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123166.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123143.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123144.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123120.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123180.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123089.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123096.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123171.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123169.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123190.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123122.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 688680.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 123162.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123176.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123140.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123161.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123160.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123128.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 600600.SH, date: 20230907 type:stock...........
[2023.09.07 14:10:15 - debug] code: 123184.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123191.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123146.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123181.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123175.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123135.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123187.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123164.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123172.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123170.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123179.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123182.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123157.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123167.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127012.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127027.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127014.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123177.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123186.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123188.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123174.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127005.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127063.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123189.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123183.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127045.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127064.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127006.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127018.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123192.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123194.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127015.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 123196.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127034.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127049.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127040.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127007.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127037.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127046.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127052.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127016.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127043.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127042.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127055.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127047.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127041.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127031.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128095.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127029.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128044.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128017.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127038.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127074.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127044.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127065.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127071.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127020.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127077.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128023.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127068.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127080.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127026.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127035.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127030.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128037.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127081.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128034.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127060.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127069.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128025.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127033.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127075.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128048.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127084.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127085.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128111.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128081.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128021.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127058.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128070.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 127070.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128087.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128085.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128036.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128124.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128091.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128117.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128039.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128076.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128049.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128106.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128120.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128108.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128075.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128121.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128131.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128074.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128082.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128071.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128109.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128105.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128066.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128118.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128056.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128116.SZ, date: 20230907type:bond
[2023.09.07 14:10:15 - debug] code: 128035.SZ, date: 20230907type:bond
